element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
176327,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002b0c7,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-ADM-OFC-OFICINA MANT > P10-ADM-OFC-ADM,P10,P10-SRV-LGC-SERVICIOS,P10-ADM-OFC-OFICINA MANT,P10-ADM-OFC-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
185694,25d0f85d-57da-4cae-8ca2-9b682363407e-0002d55e,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-TORRES > P10-TRR-BMB-BO34 > P10-TRR-BMB-BO35 > P10-TRR-BMB-BO36 > P10-TRR-BMB-BO37 > P10-TRR-MTD-MDBO37 > P10-TRR-SLA-SALA > P10-TRR-BMB-BOREFRIG > P10-TRR-TRR-TEP10 > P10-TRR-BMB-BMB > P10-TRR-TNQ-TK > P10-TRR-BMB-BO > P10-TRR-LGC-TRAT > P10-TRR-IBC-02 > P10-TRR-IBC-01 > P10-TRR-IBC-03 > P10-TRR-VNT-VETE01 > P10-TRR-VNT-VETE02 > P10-TRR-VNT-VETE03 > P10-TRR-VNT-VETE04 > P10-TRR-VNT-VETE05 > P10-TRR-VNT-VETE06,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TORRES,P10-TRR-BMB-BO34,P10-TRR-BMB-BO35,P10-TRR-BMB-BO36,P10-TRR-BMB-BO37,P10-TRR-MTD-MDBO37,P10-TRR-SLA-SALA,P10-TRR-BMB-BOREFRIG,P10-TRR-TRR-TEP10,P10-TRR-BMB-BMB,P10-TRR-TNQ-TK,P10-TRR-BMB-BO,P10-TRR-LGC-TRAT,P10-TRR-IBC-02,P10-TRR-IBC-01,P10-TRR-IBC-03,P10-TRR-VNT-VETE01,P10-TRR-VNT-VETE02,P10-TRR-VNT-VETE03,P10-TRR-VNT-VETE04,P10-TRR-VNT-VETE05,P10-TRR-VNT-VETE06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,56,0
227527,25d0f85d-57da-4cae-8ca2-9b682363407e-000378c7,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-CLD-CMB > P10-SRV-BMB-BO01 > P10-SRV-BMB-BO02 > P10-SRV-BMB-BO39 > P10-SRV-BMB-BO38 > P10-SRV-BMB-BO45 > P10-SRV-BMB-BO44 > P10-SRV-BMB-BO42 > P10-SRV-BMB-BO43 > P10-SRV-BMB-BO52 > P10-SRV-CLC-COLECTOR > P10-SRV-LGC-VALV > P10-SRV-VLV-CCV-001 > P10-SRV-VLV-PCV-001 > P10-SRV-VLV-SGR > P10-SRV-VLV-LCV-001 > P10-SRV-VLV-PCV-003 > P10-SRV-VLV-SOV-002 > P10-SRV-VLV-SOV-001 > P10-SRV-VLV-SOV-004 > P10-SRV-VLV-SOV-003 > P10-SRV-FLT-FG02 > P10-SRV-MGN-MAGNETROL > P10-SRV-SPL-SH01 > P10-SRV-SPL-SH02 > P10-SRV-SPL-SH03 > P10-SRV-SPL-SH04 > P10-SRV-TNQ-TKFLASH > P10-SRV-TNQ-TKRESERVA > P10-SRV-TNQ-TKDESAIREADOR > P10-SRV-VLV-LCV-002 > P10-SRV-VLV-PCV-004 > P10-SRV-VNT-VTF01,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-CLD-CMB,P10-SRV-BMB-BO01,P10-SRV-BMB-BO02,P10-SRV-BMB-BO39,P10-SRV-BMB-BO38,P10-SRV-BMB-BO45,P10-SRV-BMB-BO44,P10-SRV-BMB-BO42,P10-SRV-BMB-BO43,P10-SRV-BMB-BO52,P10-SRV-CLC-COLECTOR,P10-SRV-LGC-VALV,P10-SRV-VLV-CCV-001,P10-SRV-VLV-PCV-001,P10-SRV-VLV-SGR,P10-SRV-VLV-LCV-001,P10-SRV-VLV-PCV-003,P10-SRV-VLV-SOV-002,P10-SRV-VLV-SOV-001,P10-SRV-VLV-SOV-004,P10-SRV-VLV-SOV-003,P10-SRV-FLT-FG02,P10-SRV-MGN-MAGNETROL,P10-SRV-SPL-SH01,P10-SRV-SPL-SH02,P10-SRV-SPL-SH03,P10-SRV-SPL-SH04,P10-SRV-TNQ-TKFLASH,P10-SRV-TNQ-TKRESERVA,P10-SRV-TNQ-TKDESAIREADOR,P10-SRV-VLV-LCV-002,P10-SRV-VLV-PCV-004,P10-SRV-VNT-VTF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,45,0
227678,25d0f85d-57da-4cae-8ca2-9b682363407e-0003795e,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS > P10-HRN-MLN-M01 > P10-HRN-ALM-MA01 > P10-HRN-RSC-MSF01 > P10-HRN-MLN-M02 > P10-HRN-ALM-MA02 > P10-HRN-RSC-MSF02 > P10-HRN-MLN-M03 > P10-HRN-ALM-MA03 > P10-HRN-RSC-MSF03,P10,P10-HRN-LGC-HARINA,P10-HRN-LGC-MOLINOS,P10-HRN-MLN-M01,P10-HRN-ALM-MA01,P10-HRN-RSC-MSF01,P10-HRN-MLN-M02,P10-HRN-ALM-MA02,P10-HRN-RSC-MSF02,P10-HRN-MLN-M03,P10-HRN-ALM-MA03,P10-HRN-RSC-MSF03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,68,0
228225,25d0f85d-57da-4cae-8ca2-9b682363407e-00037b81,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-ENE-LGC-TRAFOS > P10-ENE-TRF-TRA1 > P10-ENE-TRF-TRA2 > P10-ENE-TRF-TRA3 > P10-ENE-TRF-TRA4 > P10-ENE-TRF-TRA5 > P10-ENE-TRF-TRA6 > P10-ENE-TRF-TRA7 > P10-ENE-TRF-TRA8 > P10-ENE-TRF-TRA9 > P10-ENE-GNR-GENERADOR,P10,P10-ENE-LGC-TRAFOS,P10-ENE-TRF-TRA1,P10-ENE-TRF-TRA2,P10-ENE-TRF-TRA3,P10-ENE-TRF-TRA4,P10-ENE-TRF-TRA5,P10-ENE-TRF-TRA6,P10-ENE-TRF-TRA7,P10-ENE-TRF-TRA8,P10-ENE-TRF-TRA9,P10-ENE-GNR-GENERADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,68,0
281069,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000449ed,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-QUEBRADORES > P10-PRP-QBR-Q01 > P10-PRP-ALM-AQ01 > P10-PRP-QBR-Q02 > P10-PRP-ALM-AQ02 > P10-PRP-QBR-Q03 > P10-PRP-ALM-AQ03 > P10-PRP-QBR-Q04 > P10-PRP-ALM-AQ04 > P10-PRP-QBR-Q05 > P10-PRP-ALM-AQ05 > P10-PRP-QBR-Q06 > P10-PRP-ALM-AQ06 > P10-PRP-QBR-Q07 > P10-PRP-ALM-AQ07 > P10-PRP-QBR-Q08 > P10-PRP-ALM-AQ08 > P10-PRP-QBR-Q09 > P10-PRP-ALM-AQ09 > P10-PRP-QBR-Q10 > P10-PRP-ALM-AQ10 > P10-PRP-RSC-SF14 > P10-PRP-VLV-VR18 > P10-PRP-RSC-SF02 > P10-PRP-VNT-VE08 > P10-PRP-CCL-CVE08 > P10-PRP-VLV-VR08,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-QUEBRADORES,P10-PRP-QBR-Q01,P10-PRP-ALM-AQ01,P10-PRP-QBR-Q02,P10-PRP-ALM-AQ02,P10-PRP-QBR-Q03,P10-PRP-ALM-AQ03,P10-PRP-QBR-Q04,P10-PRP-ALM-AQ04,P10-PRP-QBR-Q05,P10-PRP-ALM-AQ05,P10-PRP-QBR-Q06,P10-PRP-ALM-AQ06,P10-PRP-QBR-Q07,P10-PRP-ALM-AQ07,P10-PRP-QBR-Q08,P10-PRP-ALM-AQ08,P10-PRP-QBR-Q09,P10-PRP-ALM-AQ09,P10-PRP-QBR-Q10,P10-PRP-ALM-AQ10,P10-PRP-RSC-SF14,P10-PRP-VLV-VR18,P10-PRP-RSC-SF02,P10-PRP-VNT-VE08,P10-PRP-CCL-CVE08,P10-PRP-VLV-VR08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,51,0
281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-TLV-TLVCASC > P10-DSC-RSC-SF17 > P10-DSC-RSC-SF18,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-TLV-TLVCASC,P10-DSC-RSC-SF17,P10-DSC-RSC-SF18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,75,0
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO > P10-PRP-ENF-EE01 > P10-PRP-VLV-VREE1 > P10-PRP-VNT-VE21 > P10-PRP-VNT-VE22 > P10-PRP-VNT-VE23 > P10-PRP-VNT-VE24 > P10-PRP-VNT-VE25 > P10-PRP-VNT-VE26 > P10-PRP-VNT-VTEE01 > P10-PRP-ENF-EE02 > P10-PRP-VLV-VREE2 > P10-PRP-VNT-VE15 > P10-PRP-VNT-VE16 > P10-PRP-VNT-VE17 > P10-PRP-VNT-VE18 > P10-PRP-VNT-VE19 > P10-PRP-VNT-VE20 > P10-PRP-VNT-VTEE02 > P10-PRP-EXP-E01 > P10-PRP-ALM-AE01 > P10-PRP-BMB-EBLI01 > P10-PRP-BMB-EBLE01 > P10-PRP-VNT-VRA01 > P10-PRP-EXP-E02 > P10-PRP-ALM-AE02 > P10-PRP-BMB-EBLI02 > P10-PRP-BMB-EBLE02 > P10-PRP-VNT-VRA02 > P10-PRP-EXP-E03 > P10-PRP-ALM-AE03 > P10-PRP-BMB-EBLI03 > P10-PRP-BMB-EBLE03 > P10-PRP-VNT-VRA03 > P10-PRP-EXP-E04 > P10-PRP-ALM-AE04 > P10-PRP-BMB-EBLI04 > P10-PRP-BMB-EBLE04 > P10-PRP-VNT-VRA04 > P10-PRP-EXP-E05 > P10-PRP-ALM-AE05 > P10-PRP-BMB-EBLI05 > P10-PRP-BMB-EBLE05 > P10-PRP-VNT-VRA05 > P10-PRP-EXP-E06 > P10-PRP-ALM-AE06 > P10-PRP-BMB-EBLI06 > P10-PRP-BMB-EBLE06 > P10-PRP-VNT-VRA06 > P10-PRP-RSC-SF10,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-EXPANDIDO,P10-PRP-ENF-EE01,P10-PRP-VLV-VREE1,P10-PRP-VNT-VE21,P10-PRP-VNT-VE22,P10-PRP-VNT-VE23,P10-PRP-VNT-VE24,P10-PRP-VNT-VE25,P10-PRP-VNT-VE26,P10-PRP-VNT-VTEE01,P10-PRP-ENF-EE02,P10-PRP-VLV-VREE2,P10-PRP-VNT-VE15,P10-PRP-VNT-VE16,P10-PRP-VNT-VE17,P10-PRP-VNT-VE18,P10-PRP-VNT-VE19,P10-PRP-VNT-VE20,P10-PRP-VNT-VTEE02,P10-PRP-EXP-E01,P10-PRP-ALM-AE01,P10-PRP-BMB-EBLI01,P10-PRP-BMB-EBLE01,P10-PRP-VNT-VRA01,P10-PRP-EXP-E02,P10-PRP-ALM-AE02,P10-PRP-BMB-EBLI02,P10-PRP-BMB-EBLE02,P10-PRP-VNT-VRA02,P10-PRP-EXP-E03,P10-PRP-ALM-AE03,P10-PRP-BMB-EBLI03,P10-PRP-BMB-EBLE03,P10-PRP-VNT-VRA03,P10-PRP-EXP-E04,P10-PRP-ALM-AE04,P10-PRP-BMB-EBLI04,P10-PRP-BMB-EBLE04,P10-PRP-VNT-VRA04,P10-PRP-EXP-E05,P10-PRP-ALM-AE05,P10-PRP-BMB-EBLI05,P10-PRP-BMB-EBLE05,P10-PRP-VNT-VRA05,P10-PRP-EXP-E06,P10-PRP-ALM-AE06,P10-PRP-BMB-EBLI06,P10-PRP-BMB-EBLE06,P10-PRP-VNT-VRA06,P10-PRP-RSC-SF10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,28,0
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES > P10-PRP-CHD-LCH01 > P10-PRP-CHD-LCH02 > P10-PRP-CHD-LCH03 > P10-PRP-CHD-LCH04 > P10-PRP-LMN-LF01 > P10-PRP-ALM-ALF01 > P10-PRP-CHD-LFBH01 > P10-PRP-LMN-L01 > P10-PRP-ALM-AL01 > P10-PRP-LMN-L02 > P10-PRP-ALM-AL02 > P10-PRP-LMN-L03 > P10-PRP-ALM-AL03 > P10-PRP-LMN-L04 > P10-PRP-ALM-AL04 > P10-PRP-LMN-L05 > P10-PRP-ALM-AL05 > P10-PRP-LMN-L06 > P10-PRP-ALM-AL06 > P10-PRP-LMN-L07 > P10-PRP-ALM-AL07 > P10-PRP-LMN-L08 > P10-PRP-ALM-AL08 > P10-PRP-LMN-L09 > P10-PRP-ALM-AL09 > P10-PRP-LMN-L10 > P10-PRP-ALM-AL10 > P10-PRP-LMN-L11 > P10-PRP-ALM-AL11 > P10-PRP-LMN-L12 > P10-PRP-ALM-AL12 > P10-PRP-LMN-L13 > P10-PRP-ALM-AL13 > P10-PRP-LMN-L14 > P10-PRP-ALM-AL14 > P10-PRP-LMN-L15 > P10-PRP-ALM-AL15 > P10-PRP-LMN-L16 > P10-PRP-ALM-AL16 > P10-PRP-LMN-L17 > P10-PRP-ALM-AL17 > P10-PRP-LMN-L18 > P10-PRP-ALM-AL18 > P10-PRP-LMN-L19 > P10-PRP-ALM-AL19 > P10-PRP-LMN-L20 > P10-PRP-ALM-AL20 > P10-PRP-LMN-L21 > P10-PRP-ALM-AL21 > P10-PRP-LMN-L22 > P10-PRP-ALM-AL22 > P10-PRP-RCT-REC01 > P10-PRP-RCT-REC02 > P10-PRP-VNT-VE10 > P10-PRP-CCL-CVE10 > P10-PRP-RSC-SF12 > P10-PRP-VLV-VR10 > P10-PRP-VNT-VE11 > P10-PRP-CCL-CVE11 > P10-PRP-RSC-SF13 > P10-PRP-VLV-VR11,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-LAMINADORES,P10-PRP-CHD-LCH01,P10-PRP-CHD-LCH02,P10-PRP-CHD-LCH03,P10-PRP-CHD-LCH04,P10-PRP-LMN-LF01,P10-PRP-ALM-ALF01,P10-PRP-CHD-LFBH01,P10-PRP-LMN-L01,P10-PRP-ALM-AL01,P10-PRP-LMN-L02,P10-PRP-ALM-AL02,P10-PRP-LMN-L03,P10-PRP-ALM-AL03,P10-PRP-LMN-L04,P10-PRP-ALM-AL04,P10-PRP-LMN-L05,P10-PRP-ALM-AL05,P10-PRP-LMN-L06,P10-PRP-ALM-AL06,P10-PRP-LMN-L07,P10-PRP-ALM-AL07,P10-PRP-LMN-L08,P10-PRP-ALM-AL08,P10-PRP-LMN-L09,P10-PRP-ALM-AL09,P10-PRP-LMN-L10,P10-PRP-ALM-AL10,P10-PRP-LMN-L11,P10-PRP-ALM-AL11,P10-PRP-LMN-L12,P10-PRP-ALM-AL12,P10-PRP-LMN-L13,P10-PRP-ALM-AL13,P10-PRP-LMN-L14,P10-PRP-ALM-AL14,P10-PRP-LMN-L15,P10-PRP-ALM-AL15,P10-PRP-LMN-L16,P10-PRP-ALM-AL16,P10-PRP-LMN-L17,P10-PRP-ALM-AL17,P10-PRP-LMN-L18,P10-PRP-ALM-AL18,P10-PRP-LMN-L19,P10-PRP-ALM-AL19,P10-PRP-LMN-L20,P10-PRP-ALM-AL20,P10-PRP-LMN-L21,P10-PRP-ALM-AL21,P10-PRP-LMN-L22,P10-PRP-ALM-AL22,P10-PRP-RCT-REC01,P10-PRP-RCT-REC02,P10-PRP-VNT-VE10,P10-PRP-CCL-CVE10,P10-PRP-RSC-SF12,P10-PRP-VLV-VR10,P10-PRP-VNT-VE11,P10-PRP-CCL-CVE11,P10-PRP-RSC-SF13,P10-PRP-VLV-VR11,,,,,,,,,,,,,,,,,64,16,0
281487,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044b8f,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG02 > P10-HRN-RSC-EGSF05 > P10-HRN-RSC-EGSF06 > P10-HRN-RSC-EGSF07 > P10-HRN-VNT-VE35 > P10-HRN-CCL-CVE35 > P10-HRN-VLV-VR28 > P10-HRN-VNT-VE36 > P10-HRN-CCL-CVE36 > P10-HRN-VLV-VR29 > P10-HRN-VNT-VE37 > P10-HRN-CCL-CVE37 > P10-HRN-VLV-VR30 > P10-HRN-VNT-VE38 > P10-HRN-CCL-CVE38 > P10-HRN-VLV-VR31,P10,P10-HRN-LGC-HARINA,P10-HRN-ENF-EG02,P10-HRN-RSC-EGSF05,P10-HRN-RSC-EGSF06,P10-HRN-RSC-EGSF07,P10-HRN-VNT-VE35,P10-HRN-CCL-CVE35,P10-HRN-VLV-VR28,P10-HRN-VNT-VE36,P10-HRN-CCL-CVE36,P10-HRN-VLV-VR29,P10-HRN-VNT-VE37,P10-HRN-CCL-CVE37,P10-HRN-VLV-VR30,P10-HRN-VNT-VE38,P10-HRN-CCL-CVE38,P10-HRN-VLV-VR31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,62,0
