codigo_activo_excel,descripcion_excel,codigo_padre_excel,grupo_activos,area,criticalidad,sector_raiz_codigo,sector_codigo_derivado,sector_nombre_derivado,nivel_profundidad,es_raiz_sector,es_lgc,es_hoja,cantidad_hijos,incluir_en_catalogo_manual,motivo_exclusion
PR-PRP1-LGC-PRENSAS,LOGICO PRENSAS PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,9,,
PR-PRP1-LGC-PREPARACION 1,LOGICO PREPARACION LINEA 1,PLANTA RICARDONE,PR-SECTOR,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,0,SI,SI,NO,19,,
PR-PRP1-LGC-QUEBRADORES,LOGICO QUEBRADORES PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,5,,
PR-PRP1-LGC-REDLERS,LOGICO REDLERS PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,14,,
PR-PRP1-LGC-REQUECHEROS,LOGICO REQUECHEROS PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,3,,
PR-PRP1-LGC-ROSCAS,LOGICO ROSCAS PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,33,,
PR-PRP1-LGC-SAP,LOGICO SISTEMAS DE ASPIRACION PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,2,,
PR-PRP1-LGC-SUPERDECANTERS,LOGICO SUPERDECANTERS PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RR,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,6,,
PR-PRP1-LGC-TANQUES,LOGICO TANQUES PREPARACION LINEA 1,PR-PRP1-LGC-PREPARACION 1,PR-LOGICO,PTA RIC - R2 RP,C,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,1,NO,SI,NO,8,,
PR-PRP1-LMN-A01,LAMINADOR ALLOCCO AC-350 Nº 1,PR-PRP1-LGC-LAMINADORES,PR-LMN AC350,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-LMN-A02,LAMINADOR ALLOCCO AC-350 Nº 2,PR-PRP1-LGC-LAMINADORES,PR-LMN AC350,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-LMN-A03,LAMINADOR ALLOCCO AC-200 Nº 3,PR-PRP1-LGC-LAMINADORES,PR-LMN AC200,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
PR-PRP1-LMN-A04,LAMINADOR ALLOCCO AC-200 Nº 4,PR-PRP1-LGC-LAMINADORES,PR-LMN AC200,PTA RIC - R2 RS,B,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,NO,2,,
