codigo_activo_excel,descripcion_excel,codigo_padre_excel,grupo_activos,area,criticalidad,sector_raiz_codigo,sector_codigo_derivado,sector_nombre_derivado,nivel_profundidad,es_raiz_sector,es_lgc,es_hoja,cantidad_hijos,incluir_en_catalogo_manual,motivo_exclusion
PR-ACT-AGT-TK01,AGITADOR HORIZONTAL TK-1,PR-ACT-TNQ-AC01,PR-AGT TNQ AC01,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK02,AGITADOR HORIZONTAL TK-2,PR-ACT-TNQ-AC02,PR-AGT TNQ AC02,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK03,AGITADOR HORIZONTAL TK-3,PR-ACT-TNQ-AC03,PR-AGT TNQ AC03,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK04,AGITADOR HORIZONTAL TK-4,PR-ACT-TNQ-AC04,PR-AGT TNQ AC04,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK05,AGITADOR HORIZONTAL TK-5,PR-ACT-TNQ-AC05,PR-AGT TNQ AC05,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK06,AGITADOR HORIZONTAL TK-6,PR-ACT-TNQ-AC06,PR-AGT TNQ AC06,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK10,AGITADOR HORIZONTAL TK-10,PR-ACT-TNQ-AC10,PR-AGT TNQ AC10,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK11,AGITADOR HORIZONTAL TK-11,PR-ACT-TNQ-AC11,PR-AGT TNQ AC11,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK12,AGITADOR HORIZONTAL TK-12,PR-ACT-TNQ-AC12,PR-AGT TNQ AC12,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-AGT-TK13,AGITADOR HORIZONTAL TK-13,PR-ACT-TNQ-AC13,PR-AGT TNQ AC13,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-BE01,BOMBA A ENGRANAJE 1 <DESC. LECITINA TK-2>,PR-ACT-TNQ-AC02,PR-ACT-BMB-BE01,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-CB1,BOMBA CENTRIFUGA B-1,PR-ACT-TNQ-AC01,PR-ACT-BMB-CB1,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA01,BOMBA CENTRIFUGA Nº 1 <O>,PR-ACT-TNQ-AC01,PR-ACT-BMB-DA01,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA02,BOMBA CENTRIFUGA Nº 2 <C>,PR-ACT-TNQ-AC01,PR-ACT-BMB-DA02,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA03,BOMBA CENTRIFUGA Nº 3 <E>,PR-ACT-TNQ-AC01,PR-ACT-BMB-DA03,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA05,BOMBA CENTRIFUGA Nº 5,PR-ACT-TNQ-AC05,PR-ACT-BMB-DA05,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA06,BOMBA CENTRIFUGA Nº 6,PR-ACT-TNQ-AC06,PR-ACT-BMB-DA06,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA07,"BOMBA CENTRIFUGA Nº 7 6""",PR-ACT-TNQ-AC06,PR-ACT-BMB-DA07,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA08,BOMBA CENTRIFUGA Nº 8 <CENTRO>,PR-ACT-TNQ-AC01,PR-ACT-BMB-DA08,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA09,BOMBA CENTRIFUGA Nº 9,PR-ACT-LGC-BOMBAS,PR-ACT-BMB-DA09,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-DA11,BOMBA CENTRIFUGA Nº 11 <ESTE>,PR-ACT-LGC-BOMBAS,PR-ACT-BMB-DA11,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-DA12,BOMBA CENTRIFUGA Nº 12,PR-ACT-LGC-BOMBAS,PR-ACT-BMB-DA12,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-DA13,BOMBA CENTRIFUGA Nº 13 <A E-2>,PR-ACT-LGC-BOMBAS,PR-ACT-BMB-DA13,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-DA17,BOMBA OSCILANTE Nº 17,PR-ACT-TNQ-AC01,PR-ACT-BMB-DA17,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA18,BOMBA CENTRIFUGA Nº 18 <SUR>,PR-ACT-TNQ-AC04,PR-ACT-BMB-DA18,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-DA19,BOMBA A ENGRANAJE Nº 19 <NORTE>,PR-ACT-TNQ-AC04,PR-ACT-BMB-DA19,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-ELC01,BOMBA A ENGRANAJE LECITINA Nº 1 <N/O>,PR-ACT-TNQ-AC09,PR-ACT-BMB-ELC01,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-ELC02,BOMBA A ENGRANAJE LECITINA Nº 2 <S/E>,PR-ACT-TNQ-AC10,PR-ACT-BMB-ELC02,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,3,NO,NO,SI,0,,
PR-ACT-BMB-EP01,"BOMBA A ENGRANAJE PORTATIL ""A""",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EP01,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EP02,BOMBA A ENGRANAJE PORTATIL Nº 2,PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EP02,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EP03,BOMBA A ENGRANAJE PORTATIL Nº 3 (F),PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EP03,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EP04,BOMBA A ENGRANAJE PORTATIL Nº 4 (K),PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EP04,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EP05,BOMBA A ENGRANAJE PORTATIL Nº 5,PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EP05,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EPC,"BOMBA A ENGRANAJE PORTATIL ""C""",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EPC,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EPD,"BOMBA A ENGRANAJE PORTATIL ""D""",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EPD,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EPE,"BOMBA A ENGRANAJE PORTATIL ""E""",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EPE,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EPI,"BOMBA A ENGRANAJE PORTATIL ""I""",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EPI,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-EPJ,"BOMBA A ENGRANAJE PORTATIL ""J""",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-EPJ,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-OPG,"BOMBA OSCILANTE PORTATIL ""G"" X",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-OPG,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-BMB-OPH,"BOMBA OSCILANTE PORTATIL ""H""",PR-ACT-LGC-BOMBAS,PR-ACT-BMB-OPH,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-CÑR-OLD,CAÑERIA DE 8 PULG. OLEODUCTO DE PTA RIC A PTA PTO,PR-ACT-LGC-ACEITE,PR-CÑR OLD,PTA RIC - R8 RA,A,PR-ACT-LGC-ACEITE,ACT,ACEITE,1,NO,NO,SI,0,,
PR-ACT-ENF-ACR,ENFRIADOR ACEITE DE REBOMBEO,PR-ACT-LGC-ACEITE,PR-ENF ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,1,NO,NO,SI,0,,
PR-ACT-LGC-ACEITE,LOGICO ACEITE,PLANTA RICARDONE,PR-SECTOR,PTA RIC - R8 RR,C,PR-ACT-LGC-ACEITE,ACT,ACEITE,0,SI,SI,NO,4,,
PR-ACT-LGC-BOMBAS,LOGICO BOMBAS,PR-ACT-LGC-ACEITE,PR-LOGICO,PTA RIC R7-RR,C,PR-ACT-LGC-ACEITE,ACT,ACEITE,1,NO,SI,NO,17,,
PR-ACT-LGC-TANQUES,LOGICO TANQUES ACEITE,PR-ACT-LGC-ACEITE,PR-LOGICO,PLANTA RICARDONE,C,PR-ACT-LGC-ACEITE,ACT,ACEITE,1,NO,SI,NO,13,,
PR-ACT-TNQ-ABO,TANQUE ALMAC.DE BORRA,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-TNQ-AC01,TANQUE ALMAC.ACEITE CRUDO Nº 1,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,7,,
PR-ACT-TNQ-AC02,TANQUE ALMAC.ACEITE CRUDO Nº 2,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,2,,
PR-ACT-TNQ-AC03,TANQUE ALMAC.ACEITE CRUDO Nº 3,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,1,,
PR-ACT-TNQ-AC04,TANQUE ALMAC.ACEITE CRUDO Nº 4,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,3,,
PR-ACT-TNQ-AC05,TANQUE ALMAC.ACEITE CRUDO Nº 5,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,2,,
PR-ACT-TNQ-AC06,TANQUE ALMAC.ACEITE CRUDO Nº 6,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,3,,
PR-ACT-TNQ-AC08,TANQUE ALMAC.ACEITE CRUDO Nº 8,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,SI,0,,
PR-ACT-TNQ-AC09,TANQUE ALMAC. ACEITE CRUDO Nº 9 (TK-190),PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,1,,
PR-ACT-TNQ-AC10,TANQUE ALMAC.ACEITE CRUDO Nº10,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,2,,
PR-ACT-TNQ-AC11,TANQUE ALMAC.ACEITE CRUDO Nº11,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,1,,
PR-ACT-TNQ-AC12,TANQUE ALMAC.ACEITE CRUDO Nº12,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,1,,
PR-ACT-TNQ-AC13,TANQUE ALMAC.ACEITE CRUDO Nº13,PR-ACT-LGC-TANQUES,PR-TNQ ACT,PTA RIC - R8 RR,B,PR-ACT-LGC-ACEITE,ACT,ACEITE,2,NO,NO,NO,1,,
PR-ADM-AIR-ANOR,AIRE ACONDICIONADO CENTRAL. NORTE,PR-ADM-LGC-AMINISTRACION,PR-ADM-AIR-ANOR,PTA RIC - R9 RR,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-AIR-ASUR,AIRE ACONDICIONADO CENTRAL. SUR,PR-ADM-LGC-AMINISTRACION,PR-ADM-AIR-ASUR,PTA RIC - R9 RR,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-BMB-EXPGO,BOMBA EXPENDIO GAS-OIL,PR-ADM-LGC-AMINISTRACION,PR-ADM-BMB-EXPGO,PTA RIC - R9 RR,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-BMB-GOIL,BOMBA CARGA/DESCARGA G-OIL,PR-ADM-LGC-AMINISTRACION,PR-ADM-BMB-GOIL,PTA RIC - R9 RR,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-GNR-GEC01,GRUPO ELECTROGENO FEMA 24KW,PR-ADM-LGC-AMINISTRACION,PR-ADM-GNR-GEC01,PTA RIC - R9 RC,A,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-GNR-JDC60,GRUPO ELECTRÓGENO JOHN-DEERE/CRAMACO 60KVA,PR-ADM-LGC-AMINISTRACION,PR-GNR-JDC60,PTA RIC - R9 RC,A,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-LGC-AMINISTRACION,LOGICO ADMINISTRACION,PLANTA RICARDONE,PR-SECTOR,PTA RIC - R9 RR,C,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,0,SI,SI,NO,12,,
PR-ADM-TKGO-MNG,MANGUERA DESCARGA GAS-OIL,PR-ADM-LGC-AMINISTRACION,PR-ADM-TKGO-MNG,PTA RIC - R9 RR,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-TNQ-GOIL,TANQUE ALMAC.Y EXPEND.GAS-OIL 1,PR-ADM-LGC-AMINISTRACION,PR-ADM-TNQ-GOIL,PTA RIC - R9 RR,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-UPS-UPS2,UPS 2 SALA DE COMPUTOS EXTERNA,PR-ADM-LGC-AMINISTRACION,PR-ADM-UPS,PTA RIC - R9 RR,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-VHC-TYTAT,AUTOMOVIL TOYOTA COROLLA PATENTE AD531LB,PR-ADM-LGC-AMINISTRACION,PR-ADM-VHC-TYTAT,PTA RIC RC,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-VHC-TYTDC,CAMIONETA TOYOTA HILUX DOBLE CABINA PATENTE AC297UX,PR-ADM-LGC-AMINISTRACION,PR-ADM-VHC-TYTDC,PTA RIC RC,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-ADM-VHC-TYTSW4,CAMIONETA TOYOTA SW4 SRX (PATENTE AD052ZD),PR-ADM-LGC-AMINISTRACION,PR-ADM-VHC-TYTSW4,PTA RIC RC,B,PR-ADM-LGC-AMINISTRACION,ADM,ADMINISTRACION,1,NO,NO,SI,0,,
PR-AGR-BMB-AG24,BOMBA SOPLANTE Nº 24 <A E-1>,PR-AGR-LGC-REPROCESO,PR-BMB SOP,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,NO,SI,0,,
PR-AGR-CHD-PTV05,CENTRAL HIDRAULICA <RVC-5>,PR-AGR-PTV-CAM05,PR-CHD PTV05,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-CNT-CA07,CINTA TRANSP. CA-7,PR-AGR-LGC-REPROCESO,PR-AGR-CNT-CA07,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,NO,SI,0,,
PR-AGR-DPS-16H,DEPOSITO-SILO S-4,PR-AGR-LGC-REPROCESO,PR-SLO,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,NO,SI,0,,
PR-AGR-LGC-MOLINOS,LOGICO MOLINOS REPROCESO,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,NO,7,,
PR-AGR-LGC-NORIAS,LOGICO NORIAS REPROCESO,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,NO,3,,
PR-AGR-LGC-REDLERS,LOGICO REDLERS REPROCESO,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,NO,6,,
PR-AGR-LGC-REPROCESO,LOGICO REPROCESO,PLANTA RICARDONE,PR-SECTOR,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,0,SI,SI,NO,19,,
PR-AGR-LGC-ROSCAS,LOGICO ROSCAS REPROCESO,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,NO,22,,
PR-AGR-LGC-SILOS,LOGICO SILOS REPROCESO,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,NO,2,,
PR-AGR-LGC-TANQUES,LOGICO TANQUES REPROCESO,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,NO,2,,
PR-AGR-LGC-VLV,LOGICO VALVULAS,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,SI,0,,
PR-AGR-LGC-ZARANDAS,LOGICO ZARANDAS REPROCESO,PR-AGR-LGC-REPROCESO,PR-LOGICO,PTA RIC - R9 RA,C,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,SI,SI,0,,
PR-AGR-MLN-M02,MOLINO A MARTILLO Nº 2 <ESTE>,PR-AGR-LGC-MOLINOS,PR-MLN MARTILLO,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-MLN-M03,MOLINO A MARTILLO Nº 3,PR-AGR-LGC-MOLINOS,PR-MLN MARTILLO,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-MLN-M04,MOLINO A MARTILLO Nº 4,PR-AGR-LGC-MOLINOS,PR-MLN MARTILLO,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-MLN-M05,MOLINO A MARTILLO Nº 5,PR-AGR-LGC-MOLINOS,PR-MLN MARTILLO,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-MLN-M07,MOLINO A MARTILLO Nº 7 <OESTE,PR-AGR-LGC-MOLINOS,PR-MLN MARTILLO,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-MLN-M36,MOLINO GRANULADOR Nº36 <O>,PR-AGR-LGC-MOLINOS,PR-MLN GRN,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-MLN-M38,MOLINO GRANULADOR Nº38 <E>,PR-AGR-LGC-MOLINOS,PR-MLN GRN,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-NOR-NA02,NORIA NA-2 PTV Nº 5,PR-AGR-LGC-NORIAS,PR-AGR-NOR-NA02,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-NOR-NA08,NORIA NA-8,PR-AGR-LGC-NORIAS,PR-AGR-NOR-NA08,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-NOR-NA16,NORIA NA-16 <>,PR-AGR-LGC-NORIAS,PR-AGR-NOR-NA16,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-PLM-924K2,PALA MECANICA CATERPILLAR 924K Nº2 (CAT0924KVKW401288),,PR-PLM 924K,PTA RIC RC,B,PR-AGR-PLM-924K2,AGR,PALA MECANICA CATERPILLAR 924K Nº2 (CAT0924KVKW401288),0,SI,NO,SI,0,,
PR-AGR-PTV-CAM05,RAMPA VOLC. CAMIONES Nº 5,PR-AGR-LGC-REPROCESO,PR-PTV5,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,1,NO,NO,NO,1,,
PR-AGR-RDL-RA03,REDLER RA-3 <S/DEP-16>,PR-AGR-LGC-REDLERS,PR-AGR-RDL-RA03,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RDL-RA04,REDLER RA-4,PR-AGR-LGC-REDLERS,PR-AGR-RDL-RA04,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RDL-RA05,REDLER RA-5,PR-AGR-LGC-REDLERS,PR-AGR-RDL-RA05,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RDL-RA09,REDLER RA-9,PR-AGR-LGC-REDLERS,PR-AGR-RDL-RA09,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RDL-RA17,REDLER RA-17,PR-AGR-LGC-REDLERS,PR-AGR-RDL-RA17,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RDL-RA25,REDLER RA-25 <A ZAR.CLAS.RESIDUO>,PR-AGR-LGC-REDLERS,PR-AGR-RDL-RA25,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RSC-M02,ROSCA BMNº 2,PR-AGR-LGC-ROSCAS,PR-AGR-RSC-M02,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RSC-M03,ROSCA BMNº 3 <A RSC 11>,PR-AGR-LGC-ROSCAS,PR-AGR-RSC-M03,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RSC-M04,ROSCA BMNº 4 <A RSC 11>,PR-AGR-LGC-ROSCAS,PR-AGR-RSC-M04,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RSC-M05,ROSCA BMNº 5 <>,PR-AGR-LGC-ROSCAS,PR-AGR-RSC-M05,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RSC-M06,ROSCA BMNº 6 <A RSC 11>,PR-AGR-LGC-ROSCAS,PR-AGR-RSC-M06,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RSC-M07,ROSCA BMNº 7,PR-AGR-LGC-ROSCAS,PR-AGR-RSC-M07,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
PR-AGR-RSC-SA01,ROSCA SA-1,PR-AGR-LGC-ROSCAS,PR-AGR-RSC-SA01,PTA RIC - R9 RA,B,PR-AGR-LGC-REPROCESO,AGR,REPROCESO,2,NO,NO,SI,0,,
