element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
285377,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045ac1,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-PLL-LGC-PELLETERA,PP,PP-PLL-LGC-PELLETERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78,22
285673,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045be9,Generic Models,Biodiesel1,Biodiesel,Biodiesel,PP > PP-HRN-SRT-SR01,PP,PP-HRN-SRT-SR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78,4
286288,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045e50,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-PRP-LGC-PREPARACION > PP-PRP-LGC-EXPANDIDO,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-EXPANDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,28
286415,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045ecf,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-PRP-LGC-PREPARACION > PP-PRP-LGC-LAMINADORES,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-LAMINADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,37
286467,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045f03,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-PRP-LGC-PREPARACION > PP-PRP-LGC-QUEBRADORES,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,28
286530,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045f42,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-PRL-LGC-PRELIMPIEZA,PP,PP-PRL-LGC-PRELIMPIEZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78,53
286624,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045fa0,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-ENFRIADORES,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-ENFRIADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,64
286906,121e7c49-6f80-4698-91bd-c7c5a38e25dd-000460ba,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-PRP-LGC-PREPARACION > PP-PRP-LGC-REDLER,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,23
365517,af4a1dfd-5c7d-4cb9-a1b8-2df1a4ebcc4e-000593cd,Generic Models,Biodiesel5,Biodiesel,Biodiesel,PP > PP-PRL-LGC-SILOS > PP-PRL-SLO-SRECUP,PP,,PP-PRL-LGC-SILOS,PP-PRL-SLO-SRECUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,2
365759,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000594bf,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-REDLER,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,12
