codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
PP-DSC-VNT-DVE13,VENTILADOR ASPIRADOR SECUNDARIO (CHICO) | Grupo: PP-VNT DVE13,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_08,escrito_slot_05_80
PP-DSC-CCL-CDVE13,CICLON VENTILADOR ASPIRADOR SECUNDARIO (CHICO) | Grupo: PP-CCL CICLON DESCASC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_06,escrito_slot_05_80
PP-DSC-VLV-DVR15,VALVULA ROTATIVA (DVE13) | Grupo: PP-VLV ROTATIVA DVR15,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_06,escrito_slot_05_80
PP-DSC-LGC-DCCC,CONJUNTO DCCC DESCASCARADO PTA PTO | Grupo: PP-CONJ DCCC,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_07,escrito_slot_05_80
PP-DSC-ART-DART01,AEROTERMO DE LAS CASCADAS(DVE11-DVE12) | Grupo: PP-ART AEROTERMO DESC,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_09,escrito_slot_05_80
PP-DSC-CCC-DCCC01,CCC01 (CROWN CASCADA COOLER) | Grupo: PP-CCC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_07,escrito_slot_05_80
PP-DSC-CCC-DCCC02,CCC02 (CROWN CASCADA COOLER) | Grupo: PP-CCC,184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_07,escrito_slot_05_80
PP-DSC-CCC-DCCC03,CCC03 (CROWN CASCADA COOLER) | Grupo: PP-CCC,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_08,escrito_slot_05_80
PP-DSC-CCC-DCCC04,CCC04 (CROWN CASCADA COOLER) | Grupo: PP-CCC,183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_10,escrito_slot_05_80
PP-DSC-CCC-DCCC05,CCC05 (CROWN CASCADA COOLER) | Grupo: PP-CCC,183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_08,escrito_slot_05_80
