codigo_project,task_name,estado_match,observacion,tipo_asociacion
PP-GRN-RDL-R21,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-LGC-EQUIPOS,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-LGC-RUTAS,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-LGC-ZONA,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-LGC-MAQUINARIAS,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-MQN-BRR-BARREDORA,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-MQN-PLM-PALA,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-TLL-AUT-AELV,,sin_contenedor,Código repetido en Project 3 veces. Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-LGC-SUB,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-ET-CABINA,,sin_contenedor,Código repetido en Project 2 veces. Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-ET-SULFACID,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-LGC-VEHICULOS,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-ADM-ATM-TOY,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-PRP-EDF-SUPERVISORIO,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-PRP-INCENDIO,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-SIS-CMP-PC,,sin_contenedor,Código repetido en Project 4 veces. Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-RPS-LGC-REPUESTOS,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-RPS-LGC-EN,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
