element_id,category,family,type,btz_01,btz_02,btz_03,btz_04
282997,Cubiertas,,Genérico - 400 mm,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESGOMADO,,
285673,Modelos genéricos,Biodiesel1,Biodiesel,,PP-HRN-SRT-SR01,,
286288,Cubiertas,,Genérico - 400 mm,,PP-PRP-LGC-EXPANDIDO,,
286415,Cubiertas,,Genérico - 400 mm,,PP-PRP-LGC-LAMINADORES,,
286467,Cubiertas,,Genérico - 400 mm,,PP-PRP-LGC-QUEBRADORES,,
286530,Cubiertas,,Genérico - 400 mm,,PP-PRL-LGC-PRELIMPIEZA,,
286906,Cubiertas,,Genérico - 400 mm,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-REDLER,,
287117,Modelos genéricos,Silos rio carga4,Silos rio carga,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR11
287288,Modelos genéricos,silos rio4,silos rio,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-LCT-TNQ-TK8
308642,Modelos genéricos,Silos rio carga5,Silos rio carga,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR10
308734,Modelos genéricos,Silos rio carga6,Silos rio carga,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR12
314154,Cubiertas,,Genérico - 400 mm,TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV1,
314190,Cubiertas,,Genérico - 400 mm,TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV2,
314219,Cubiertas,,Genérico - 400 mm,TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV3,
314239,Cubiertas,,Genérico - 400 mm,TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV4,
314581,Modelos genéricos,silos 1,silos 567,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 7,
314647,Modelos genéricos,silos 3,silos 567,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 5,
318340,Modelos genéricos,silos1,silos,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK401
318365,Modelos genéricos,silos2,silos,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK400
318484,Modelos genéricos,Silos 4,Silos 2,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK404
318499,Modelos genéricos,Silos 5,Silos 2,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK405
330783,Modelos genéricos,Tanques aceite3,Tanques aceite,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK11
332643,Modelos genéricos,Silos 6,Silos 2,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TRATAMIENTO AGUA,
