"nivel_btz","valor_btz","nombre_vista","nombre_filtro","archivo_png","estado","mensaje"
"02","1","EXP_BTZ02_RICARDONE_PR_PR_ENR1_LGC_ENERGIA_1","FILTRO_BTZ02_RICARDONE_PR_PR_ENR1_LGC_ENERGIA_1","BTZ02_RICARDONE_PR_PR_ENR1_LGC_ENERGIA_1.png","ok",""
"02","3","EXP_BTZ02_RICARDONE_PR_PR_PRP3_LGC_PREPARACION_3","FILTRO_BTZ02_RICARDONE_PR_PR_PRP3_LGC_PREPARACION_3","BTZ02_RICARDONE_PR_PR_PRP3_LGC_PREPARACION_3.png","ok",""
"02","PELLETEADO","EXP_BTZ02_RICARDONE_PR_PR_PLL_LGC_PELLETEADO","FILTRO_BTZ02_RICARDONE_PR_PR_PLL_LGC_PELLETEADO","BTZ02_RICARDONE_PR_PR_PLL_LGC_PELLETEADO.png","ok",""
"02","VAPOR2","EXP_BTZ02_RICARDONE_PR_PR_VPR1_LGC_VAPOR2","FILTRO_BTZ02_RICARDONE_PR_PR_VPR1_LGC_VAPOR2","BTZ02_RICARDONE_PR_PR_VPR1_LGC_VAPOR2.png","ok",""
"02","2","EXP_BTZ02_RICARDONE_PR_PR_ENR2_LGC_ENERGIA_2","FILTRO_BTZ02_RICARDONE_PR_PR_ENR2_LGC_ENERGIA_2","BTZ02_RICARDONE_PR_PR_ENR2_LGC_ENERGIA_2.png","ok",""
"02","2","EXP_BTZ02_RICARDONE_PR_PR_EXT2_LGC_EXTRACCION_2","FILTRO_BTZ02_RICARDONE_PR_PR_EXT2_LGC_EXTRACCION_2","BTZ02_RICARDONE_PR_PR_EXT2_LGC_EXTRACCION_2.png","ok",""
"03","TANQUES","EXP_BTZ03_RICARDONE_PR_PR_ACT_LGC_ACEITE_PR_ACT_LGC_TANQUES","FILTRO_BTZ03_RICARDONE_PR_PR_ACT_LGC_ACEITE_PR_ACT_LGC_TANQUES","BTZ03_RICARDONE_PR_PR_ACT_LGC_ACEITE_PR_ACT_LGC_TANQUES.png","ok",""
"03","DESCASCARADO","EXP_BTZ03_RICARDONE_PR_DESCASCARADO_DESCASCARADO","FILTRO_BTZ03_RICARDONE_PR_DESCASCARADO_DESCASCARADO","BTZ03_RICARDONE_PR_DESCASCARADO_DESCASCARADO.png","ok",""
"03","10","EXP_BTZ03_RICARDONE_PR_PR_PLYSP_LGC_PLAYA_Y_SUB_PR_PLYSP_LGC_SILO_CELDA_DEP_S_P_N_10","FILTRO_BTZ03_RICARDONE_PR_PR_PLYSP_LGC_PLAYA_Y_SUB_PR_PLYSP_LGC_SILO_CELDA_DEP_S_P_N_10","BTZ03_RICARDONE_PR_PR_PLYSP_LGC_PLAYA_Y_SUB_PR_PLYSP_LGC_SILO_CELDA_DEP_S_P_N_10.png","ok",""
"03","CELDA","EXP_BTZ03_RICARDONE_PR_PR_PLYMP_LGC_PLAYA_Y_MP_PR_PLYMP_LGC_SILOS_CELDA","FILTRO_BTZ03_RICARDONE_PR_PR_PLYMP_LGC_PLAYA_Y_MP_PR_PLYMP_LGC_SILOS_CELDA","BTZ03_RICARDONE_PR_PR_PLYMP_LGC_PLAYA_Y_MP_PR_PLYMP_LGC_SILOS_CELDA.png","ok",""
