element_id,unique_id,estado_aplicacion,mensaje,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80
366106,112ed255-2c3e-4575-ba44-903fa5f3f8e7-0005961a,aplicado,OK,PP-HRN-LGC-TAMIZADORES,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-TAMIZADORES,,PP-HRN-VLV-VR23A,PP-HRN-BTD-TAM01,PP-HRN-RSC-RTAM01,PP-HRN-RSC-S17,PP-HRN-BTD-TAM02,PP-HRN-RSC-RTAM02,PP-HRN-RSC-S18,PP-HRN-BTD-TAM03,PP-HRN-RSC-RTAM03,PP-HRN-RSC-S19,PP-HRN-VLV-VM01,PP-HRN-SIS-CTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,aplicado,OK,PP-HRN-LGC-VALVULAS,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-VALVULAS A PUERTO,,PP-AGR-RDL-R28,PP-AGR-RDL-R29,PP-AGR-RDL-R30,PP-AGR-RDL-R30A,PP-AGR-SLO-SA1,PP-AGR-SLO-SA2,PP-AGR-SLO-SA3,PP-AGR-VLV-VR26A,PP-HRN-VNT-VE23,PP-HRN-VLV-VM03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285673,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045be9,aplicado,OK,PP-HRN-SRT-SR01,PP,PP-HRN-SRT-SR01,,,PP-HRN-RSC-RER01,PP-HRN-VLV-PCVSR01,PP-HRN-VLV-TCVSR01,PP-HRN-VLV-VSSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285377,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045ac1,aplicado,OK,PP-PLL-LGC-PELLETERA,PP,PP-PLL-LGC-PELLETERA,,,PP-PLL-BMB-DBS02,PP-PLL-CCL-CDBS02,PP-PLL-CCL-CDBS02A,PP-PLL-CCL-CDBS02B,PP-PLL-VLV-DVR18,PP-PLL-ENF-DEP,PP-PLL-VNT-DVE14,PP-PLL-CCL-CDVE14,PP-PLL-RSC-DSF04,PP-PLL-VLV-DVR17,PP-PLL-PLL-DP01,PP-PLL-ALM-DPA01,PP-PLL-FRZ-DFP01,PP-PLL-MZC-DMP01,PP-PLL-PLL-DP02,PP-PLL-ALM-DPA02,PP-PLL-FRZ-DFP02,PP-PLL-MZC-DMP02,PP-PLL-RDL-DR19,PP-PLL-RSC-DSF05,PP-PLL-SIS-CTRAL,PP-PLL-TNQ-TKPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286530,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045f42,aplicado,OK,PP-PRL-LGC-PRELIMPIEZA,PP,PP-PRL-LGC-PRELIMPIEZA,,,PP-PRL-BMB-BS59,PP-PRL-VLV-SM04,PP-PRL-FLT-FM01,PP-PRL-RSC-SF02,PP-PRL-RSC-SF03,PP-PRL-RSC-SF04,PP-PRL-VLV-VR04,PP-PRL-VNT-VE04,PP-PRL-LGC-ASPIRACIONES,PP-PRL-VNT-VE01,PP-PRL-CCL-CVE01,PP-PRL-VLV-VR01,PP-PRL-VNT-VE02,PP-PRL-CCL-CVE02,PP-PRL-VLV-VR02,PP-PRL-VNT-VE03,PP-PRL-CCL-CVE03,PP-PRL-VLV-VR03,PP-PRL-VNT-VE26,PP-PRL-LGC-DESPEDRADOR,PP-PRL-BTD-DBA01,PP-PRL-RSC-DSF10,PP-PRL-RSC-DSF11,PP-PRL-DSP-DSP01,PP-PRL-ALM-DAD01,PP-PRL-ALM-DAD02,PP-PRL-RSC-DSF12,PP-PRL-VNT-DVE03,PP-PRL-CCL-CDVE03,PP-PRL-VLV-DVR05,PP-PRL-LGC-MERMA,PP-PRL-CHM-CHIMERMA,PP-PRL-RSC-S21,PP-PRL-RSC-SF01,PP-PRL-LGC-REDLER,PP-PRL-RDL-DR12,PP-PRL-RDL-R01,PP-PRL-RDL-R01B,PP-PRL-RDL-R02,PP-PRL-RDL-R35,PP-PRL-RDL-RF01,PP-PRL-RDL-RG02,PP-PRL-LGC-ZARANDAS,PP-PRL-ZRN-Z01,PP-PRL-ALM-MTMA01,PP-PRL-ZRN-Z02,PP-PRL-ALM-MTMA02,PP-PRL-ZRN-Z03,PP-PRL-ALM-MTMA03,PP-PRL-ZRN-Z04,PP-PRL-ALM-MTMA04,PP-PRL-ZRN-ZPP1,PP-PRL-NOR-N02,,,,,,,,,,,,,,,,,,,,,,,
173600,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a620,aplicado,OK,PP-PRL-SLO-SA00,PP,,PP-PRL-LGC-SILOS,PP-PRL-SLO-SA00,PP-PRL-VLV-VG01,PP-PRL-VLV-VG02,PP-PRL-VLV-VG03,PP-PRL-VLV-VG04,PP-PRL-VLV-VG05,PP-PRL-VLV-VG06,PP-PRL-VLV-VG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365517,af4a1dfd-5c7d-4cb9-a1b8-2df1a4ebcc4e-000593cd,aplicado,OK,PP-PRL-SLO-SRECUP,PP,,PP-PRL-LGC-SILOS,PP-PRL-SLO-SRECUP,PP-PRL-VLV-VG09,PP-PRL-VLV-VR24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284902,121e7c49-6f80-4698-91bd-c7c5a38e25dd-000458e6,aplicado,OK,PP-PRP-LGC-BEAN,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-BEAN HEATER,,PP-PRP-ART-DARTBH,PP-PRP-VNT-DVE01,PP-PRP-VLV-DBHA02,PP-PRP-DMP-DMPAC,PP-PRP-VLV-SOV-100,PP-PRP-TRF-TRA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286288,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045e50,aplicado,OK,PP-PRP-LGC-EXPANDIDO,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-EXPANDIDO,,PP-PRP-BHT-DBH01,PP-PRP-CCL-CDVE01,PP-PRP-VLV-DBHS02,PP-PRP-DMP-DMPAF,PP-PRP-VLV-TCV-101,PP-PRP-TRF-TRA3,PP-PRP-ENF-EE03,PP-PRP-VNT-VE11,PP-PRP-CCL-CVE11,PP-PRP-VLV-VR11A,PP-PRP-VNT-VE12,PP-PRP-CCL-CVE12,PP-PRP-VLV-VR12A,PP-PRP-ENF-EE04,PP-PRP-VNT-VE13,PP-PRP-CCL-CVE13,PP-PRP-VLV-VR13A,PP-PRP-VNT-VE14,PP-PRP-CCL-CVE14,PP-PRP-VLV-VR14A,PP-PRP-EXP-E01,PP-PRP-ALM-EA01,PP-PRP-EXP-E02,PP-PRP-ALM-EA02,PP-PRP-EXP-E03,PP-PRP-ALM-EA03,PP-PRP-EXP-E04,PP-PRP-ALM-EA04,PP-PRP-EXP-E05,PP-PRP-ALM-EA05,PP-PRP-EXP-E06,PP-PRP-ALM-EA06,PP-PRP-RSC-SF05,PP-PRP-RSC-SF07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286415,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045ecf,aplicado,OK,PP-PRP-LGC-LAMINADORES,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-LAMINADORES,,PP-PRP-BMB-DBO01,PP-PRP-VLV-DVR01,PP-PRP-VNT-DVE02,PP-PRP-RSC-DSF01,PP-PRP-VLV-VSBH,PP-PRP-TRF-TRA4,PP-PRP-LMN-LP01,PP-PRP-ALM-LA01,PP-PRP-LMN-LP02,PP-PRP-ALM-LA02,PP-PRP-LMN-LP03,PP-PRP-ALM-LA03,PP-PRP-LMN-LP04,PP-PRP-ALM-LA04,PP-PRP-LMN-LP05,PP-PRP-ALM-LA05,PP-PRP-LMN-LP06,PP-PRP-ALM-LA06,PP-PRP-LMN-LP07,PP-PRP-ALM-LA07,PP-PRP-LMN-LP08,PP-PRP-ALM-LA08,PP-PRP-LMN-LP09,PP-PRP-ALM-LA09,PP-PRP-LMN-LP10,PP-PRP-ALM-LA10,PP-PRP-LMN-LP11,PP-PRP-ALM-LA11,PP-PRP-LMN-LP12,PP-PRP-ALM-LA12,PP-PRP-LMN-LP13,PP-PRP-ALM-LA13,PP-PRP-LMN-LP14,PP-PRP-ALM-LA14,PP-PRP-RCT-REC01,PP-PRP-RCT-REC02,PP-PRP-RSC-DSF08,PP-PRP-VNT-VE09,PP-PRP-CCL-CVE09,PP-PRP-VLV-VR09,PP-PRP-VNT-VE10,PP-PRP-CCL-CVE10,PP-PRP-VLV-VR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
