planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual
TE,PLY,SECTOR PLAYA,SECTOR,SECTOR PLAYA,TE-PLY-LGC-SECTOR PLAYA,BTZ_Description_02,TE-PLY-LGC-SECTOR PLAYA,,,
TE,SCD,SECTOR SECADORA,SECTOR,SECTOR SECADORA,TE-SCD-LGC-SECTOR SECADORA,BTZ_Description_02,TE-SCD-LGC-SECTOR SECADORA,,,
TE,TDM,TORRE DE MANIPULEO,SECTOR,TORRE DE MANIPULEO,TE-TDM-LGC-TORRE DE MANIPULEO,BTZ_Description_02,TE-TDM-LGC-TORRE DE MANIPULEO,,,
TE,TE6,TORRE EL6,SECTOR,TORRE EL6,TE-TE6-LGC-TORRE EL6,BTZ_Description_02,TE-TE6-LGC-TORRE EL6,,,
P10,DSC,DESCASCARADO,SUBSECTOR,CONJUNTO CCC 2DA,P10-DSC-LGC-CONJUNTO CCC 2DA,BTZ_Description_03,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-CONJUNTO CCC 2DA,,
P10,DSC,DESCASCARADO,SUBSECTOR,CONJUNTO CCD 1RA,P10-DSC-LGC-CONJUNTO CCD 1RA,BTZ_Description_03,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-CONJUNTO CCD 1RA,,
P10,DSC,DESCASCARADO,SUBSECTOR,MOLINO,P10-DSC-LGC-MOLINO,BTZ_Description_03,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,
P10,DSC,DESCASCARADO,SUBSECTOR,QUEBRADORES,P10-DSC-LGC-QUEBRADORES,BTZ_Description_03,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,,
P10,DSC,DESCASCARADO,SUBSECTOR,REDLER,P10-DSC-LGC-REDLER,BTZ_Description_03,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-REDLER,,
P10,DSC,DESCASCARADO,SUBSECTOR,ZARANDAS,P10-DSC-LGC-ZARANDAS,BTZ_Description_03,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-ZARANDAS,,
P10,EXT,EXTRACCION,SUBSECTOR,DESGOMADO,P10-EXT-LGC-DESGOMADO,BTZ_Description_03,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESGOMADO,,
P10,EXT,EXTRACCION,SUBSECTOR,DESTILACION,P10-EXT-LGC-DESTILACION,BTZ_Description_03,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESTILACION,,
