type_comments,workset,BTZ_Description_06,keynote,mark,comments,uniformat_description,macro_group,BTZ_Description_07,category_name,BTZ_Description_12,structural_usage,BTZ_Description,BTZ_Description_04,type_name,element_name,level_name,type_mark,BTZ_Description_03,BTZ_Description_08,group_key,BTZ_Description_09,BTZ_Description_01,BTZ_Description_13,element_id,family_name,BTZ_Description_05,BTZ_Description_11,host_category,uniformat_code,BTZ_Description_10,BTZ_Description_02,unique_id,structural_material,type_description
,Subproyecto1,,,,,,otros,,Generic Models,,,,,Modelos genéricos 1,Modelos genéricos 1,,,,,otros|Generic Models|Modelos genéricos 5|Modelos genéricos 1,,,,156169,Modelos genéricos 5,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026209,,
,Subproyecto1,,,,,,otros,,Generic Models,,,,,Modelos genéricos 1,Modelos genéricos 1,,,,,otros|Generic Models|Modelos genéricos 6|Modelos genéricos 1,,,,156228,Modelos genéricos 6,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026244,,
,Subproyecto1,,,,,,otros,,Generic Models,,,,,Modelos genéricos 1,Modelos genéricos 1,,,,,otros|Generic Models|Modelos genéricos 7|Modelos genéricos 1,,,,156246,Modelos genéricos 7,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026256,,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157168,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-000265f0,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157223,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026627,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157285,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026665,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157340,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-0002669c,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157486,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-0002672e,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157562,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-0002677a,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157672,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-000267e8,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157722,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-0002681a,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157821,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-0002687d,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157871,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-000268af,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157928,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-000268e8,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,157978,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-0002691a,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158105,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026999,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158157,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-000269cd,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158243,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026a23,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158302,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026a5e,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158492,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026b1c,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158567,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026b67,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158642,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026bb2,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,158727,,,,,,,,379981ba-ab79-4577-9004-ad3cc41f4fee-00026c07,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161063,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027527,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161123,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027563,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161192,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000275a8,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161238,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000275d6,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161360,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027650,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161426,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027692,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161516,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000276ec,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161575,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027727,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161691,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-0002779b,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,161828,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027824,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,163663,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027f4f,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,163740,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027f9c,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,163996,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-0002809c,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,164201,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00028169,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,164427,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-0002824b,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,164558,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000282ce,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,164840,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000283e8,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,164922,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-0002843a,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,164973,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-0002846d,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165031,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000284a7,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165098,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000284ea,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165146,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-0002851a,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165209,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00028559,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165252,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00028584,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165528,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00028698,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165596,,,,,,,,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000286dc,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165946,,,,,,,,e42370da-1003-4b82-9a27-4cb40db2c9bb-0002883a,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,165967,,,,,,,,e42370da-1003-4b82-9a27-4cb40db2c9bb-0002884f,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,167352,,,,,,,,e42370da-1003-4b82-9a27-4cb40db2c9bb-00028db8,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,167483,,,,,,,,e42370da-1003-4b82-9a27-4cb40db2c9bb-00028e3b,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,169527,,,,,,,,e42370da-1003-4b82-9a27-4cb40db2c9bb-00029637,Plástico,
,Subproyecto1,,,,,,otros,,Generic Models,,,,,Modelos genéricos 8,Modelos genéricos 8,,,,,otros|Generic Models|Modelos genéricos 8|Modelos genéricos 8,,,,170794,Modelos genéricos 8,,,,,,,358aa91e-12c5-4b99-b609-4e1e7ac885f9-00029b2a,,
,Subproyecto1,,,,PTD_A2;PTC_B3;PTC_E2_V02;PTD_F5_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,171064,,,,,,,,358aa91e-12c5-4b99-b609-4e1e7ac885f9-00029c38,Plástico,
