element_id,unique_id,category,family,type,name,mark,comments,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,btz_path_detectado,cantidad_btz_description_con_valor,inconsistencia_tipo,inconsistencia_mensaje
351012,166708fd-8f1f-4231-bc3b-68b8d7570667-00055b24,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-BBR-LGC-SECTOR BAJO BARR,TE-ACT-SLA-SALA,TE-ACT-BMB-BO200,TE-ACT-BMB-BO201,TE-BBR-CNL-CANAL PLUVIAL BBR,TE-BBR-VLV-CLAP PLUV NORTE,TE-BBR-VLV-DESPURGUE DCT NORTE,TE-BBR-VLV-EGRESO DCT NORTE,TE-BBR-VLV-INGRESO DCT NORTE,TE-BRR-VLV-VALV,TE-BBR-PLT-PILETA DECANT,TE-BBR-BMB-DESAG CAMARA,TE-BBR-CMR-CAMARA DESGRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO BARR > TE-ACT-SLA-SALA > TE-ACT-BMB-BO200 > TE-ACT-BMB-BO201 > TE-BBR-CNL-CANAL PLUVIAL BBR > TE-BBR-VLV-CLAP PLUV NORTE > TE-BBR-VLV-DESPURGUE DCT NORTE > TE-BBR-VLV-EGRESO DCT NORTE > TE-BBR-VLV-INGRESO DCT NORTE > TE-BRR-VLV-VALV > TE-BBR-PLT-PILETA DECANT > TE-BBR-BMB-DESAG CAMARA > TE-BBR-CMR-CAMARA DESGRAS,15,"valores BTZ con saltos, espacios dobles o separadores inconsistentes",Revisar clasificación BTZ plana del elemento
354957,b711483d-ace3-4f9c-be95-628f10df186b-00056a8d,Generic Models,Generic Models 8,Generic Models 5,Generic Models 5,,,,,TE-ACT-SLA-SALA BMB BAJO BARR,TE-ACT-BMB-BO106,TE-ACT-BMB-BO510,TE-ACT-BMB-BO513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE-ACT-SLA-SALA BMB BAJO BARR > TE-ACT-BMB-BO106 > TE-ACT-BMB-BO510 > TE-ACT-BMB-BO513,4,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
364734,c5789114-c0d4-413a-baf1-dd659684e66c-000590be,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,TE-ADM-EDF-COMEDOR,,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-COMEDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-COMEDOR,2,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
366082,112ed255-2c3e-4575-ba44-903fa5f3f8e7-00059602,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-HRN-LGC-MOLINOS,,PP-HRN-LGC-HARINA,PP-HRN-LGC-ENFRIADORES,PP-HRN-ENF-EG12,PP-HRN-ART-ATER-17,PP-HRN-ART-ATER-18,PP-HRN-ART-ATER-19,PP-HRN-ART-ATER-20,PP-HRN-ART-ATER-21,PP-HRN-ART-ATER-22,PP-HRN-ART-ATER-23,PP-HRN-ART-ATER-24,PP-HRN-ART-ATER-25,PP-HRN-ART-ATER-26,PP-HRN-ART-ATER-27,PP-HRN-ART-ATER-28,PP-HRN-ART-ATER-29,PP-HRN-RSC-S09,PP-HRN-RSC-S11,PP-HRN-RSC-S22,PP-HRN-RSC-S23,PP-HRN-VLV-SOV-201,PP-HRN-VLV-SOV-202,PP-HRN-VNT-VE19,PP-HRN-CCL-CVE19,PP-HRN-VLV-VR19,PP-HRN-VNT-VE20,PP-HRN-CCL-CVE20,PP-HRN-VLV-VR20,PP-HRN-VNT-VE21,PP-HRN-CCL-CVE21,PP-HRN-VLV-VR21,PP-HRN-VNT-VE22,PP-HRN-CCL-CVE22,PP-HRN-VLV-VR22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-HRN-LGC-HARINA > PP-HRN-LGC-ENFRIADORES > PP-HRN-ENF-EG12 > PP-HRN-ART-ATER-17 > PP-HRN-ART-ATER-18 > PP-HRN-ART-ATER-19 > PP-HRN-ART-ATER-20 > PP-HRN-ART-ATER-21 > PP-HRN-ART-ATER-22 > PP-HRN-ART-ATER-23 > PP-HRN-ART-ATER-24 > PP-HRN-ART-ATER-25 > PP-HRN-ART-ATER-26 > PP-HRN-ART-ATER-27 > PP-HRN-ART-ATER-28 > PP-HRN-ART-ATER-29 > PP-HRN-RSC-S09 > PP-HRN-RSC-S11 > PP-HRN-RSC-S22 > PP-HRN-RSC-S23 > PP-HRN-VLV-SOV-201 > PP-HRN-VLV-SOV-202 > PP-HRN-VNT-VE19 > PP-HRN-CCL-CVE19 > PP-HRN-VLV-VR19 > PP-HRN-VNT-VE20 > PP-HRN-CCL-CVE20 > PP-HRN-VLV-VR20 > PP-HRN-VNT-VE21 > PP-HRN-CCL-CVE21 > PP-HRN-VLV-VR21 > PP-HRN-VNT-VE22 > PP-HRN-CCL-CVE22 > PP-HRN-VLV-VR22,34,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
366791,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-000598c7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-RECUP GASES,PP-EXT-ABS-ABSOV MINERAL,PP-EXT-BMB-BO24,PP-EXT-CND-CVENT01,PP-EXT-CND-CVENT02,PP-EXT-CDL-CAUDALIM,PP-EXT-ENF-EACMINERAL,PP-EXT-INT-INT02 AC/AC MIN,PP-EXT-INT-INT03 EAC/MINERAL,PP-EXT-STR-STRIPPER,PP-EXT-BMB-BO23,PP-EXT-CLT-CALENT,PP-EXT-VLV-SOV-310 VS08,PP-EXT-VLV-SOV-320 VS09,PP-EXT-VNT-VE02 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-LGC-RECUP GASES > PP-EXT-ABS-ABSOV MINERAL > PP-EXT-BMB-BO24 > PP-EXT-CND-CVENT01 > PP-EXT-CND-CVENT02 > PP-EXT-CDL-CAUDALIM > PP-EXT-ENF-EACMINERAL > PP-EXT-INT-INT02 AC/AC MIN > PP-EXT-INT-INT03 EAC/MINERAL > PP-EXT-STR-STRIPPER > PP-EXT-BMB-BO23 > PP-EXT-CLT-CALENT > PP-EXT-VLV-SOV-310 VS08 > PP-EXT-VLV-SOV-320 VS09 > PP-EXT-VNT-VE02 E,17,"valores BTZ con saltos, espacios dobles o separadores inconsistentes",Revisar clasificación BTZ plana del elemento
398544,c5bd9b6d-1b33-4c70-af81-ae4fc321dc5f-000614d0,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-VAPOR,PP-SRV-CLD-CBW1,PP-SRV-BMB-BO45C,PP-SRV-BMB-BO46C,PP-SRV-CCH-CDUCT,PP-SRV-CIL-SOV-002,PP-SRV-MGN-MAGNETROL,PP-SRV-SPL-SH01,PP-SRV-SPL-SH02,PP-SRV-SPL-SH03,PP-SRV-SPL-SH04,PP-SRV-VLV-DPCV-051,PP-SRV-VLV-FCV-041,PP-SRV-VLV-LCV-010,PP-SRV-VLV-PCV-040,PP-SRV-VLV-SGR SUB-EST GAS,PP-SRV-VLV-PCV-052,PP-SRV-VLV-SOV-021,PP-SRV-VLV-SOV-040A,PP-SRV-VLV-SOV-040B,PP-SRV-VLV-SOV-044,PP-SRV-VLV-SOV-050,PP-SRV-VLV-VSE,PP-SRV-VLV-VSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-VAPOR > PP-SRV-CLD-CBW1 > PP-SRV-BMB-BO45C > PP-SRV-BMB-BO46C > PP-SRV-CCH-CDUCT > PP-SRV-CIL-SOV-002 > PP-SRV-MGN-MAGNETROL > PP-SRV-SPL-SH01 > PP-SRV-SPL-SH02 > PP-SRV-SPL-SH03 > PP-SRV-SPL-SH04 > PP-SRV-VLV-DPCV-051 > PP-SRV-VLV-FCV-041 > PP-SRV-VLV-LCV-010 > PP-SRV-VLV-PCV-040 > PP-SRV-VLV-SGR SUB-EST GAS > PP-SRV-VLV-PCV-052 > PP-SRV-VLV-SOV-021 > PP-SRV-VLV-SOV-040A > PP-SRV-VLV-SOV-040B > PP-SRV-VLV-SOV-044 > PP-SRV-VLV-SOV-050 > PP-SRV-VLV-VSE > PP-SRV-VLV-VSO,25,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
398693,613b2511-9188-4473-a91f-b1bad0266697-00061565,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-HRN-LGC-ENFRIADORES,,PP-HRN-LGC-HARINA,PP-HRN-LGC-MEZCLADORAS,PP-HRN-RSC-S04,PP-HRN-RSC-S05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-HRN-LGC-HARINA > PP-HRN-LGC-MEZCLADORAS > PP-HRN-RSC-S04 > PP-HRN-RSC-S05,4,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
398765,613b2511-9188-4473-a91f-b1bad0266697-000615ad,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-REDLER,,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,PP-HRN-RDL-R20,PP-HRN-RDL-R22,PP-HRN-RDL-R23,PP-HRN-RDL-R24,PP-HRN-RDL-R25,PP-HRN-RDL-R26,PP-HRN-RDL-R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-HRN-LGC-HARINA > PP-HRN-LGC-REDLER > PP-HRN-RDL-R20 > PP-HRN-RDL-R22 > PP-HRN-RDL-R23 > PP-HRN-RDL-R24 > PP-HRN-RDL-R25 > PP-HRN-RDL-R26 > PP-HRN-RDL-R27,9,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
399199,613b2511-9188-4473-a91f-b1bad0266697-0006175f,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-REDLER,,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,PP-HRN-RDL-R19,PP-HRN-RDL-R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-HRN-LGC-HARINA > PP-HRN-LGC-REDLER > PP-HRN-RDL-R19 > PP-HRN-RDL-R20,4,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
402084,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622a4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-CLT-COLECTOR PRINC,PP-SRV-CLT-COLECTOR SECUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-CLT-COLECTOR PRINC > PP-SRV-CLT-COLECTOR SECUND,3,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
402103,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622b7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-TRAT,PP-SRV-BMB-BO,PP-SRV-IBC-01,PP-SRV-IBC-02,PP-SRV-IBC-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-TRAT > PP-SRV-BMB-BO > PP-SRV-IBC-01 > PP-SRV-IBC-02 > PP-SRV-IBC-03,6,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
402142,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622de,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-VAPOR,PP-SRV-DSR-DESAIREADOR,PP-SRV-BMB-BO47C,PP-SRV-BMB-BO48C,PP-SRV-TNQ-TKRESERV,PP-SRV-VLV-LCV020,PP-SRV-VLV-VSDS,PP-SRV-ECN-ECONO,PP-SRV-VLV-VSEC,PP-SRV-TNQ-TKFLASH,PP-SRV-VLV-VSTK FLASH,PP-SRV-VNT-VE25 VTF,PP-SRV-CIL-060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-VAPOR > PP-SRV-DSR-DESAIREADOR > PP-SRV-BMB-BO47C > PP-SRV-BMB-BO48C > PP-SRV-TNQ-TKRESERV > PP-SRV-VLV-LCV020 > PP-SRV-VLV-VSDS > PP-SRV-ECN-ECONO > PP-SRV-VLV-VSEC > PP-SRV-TNQ-TKFLASH > PP-SRV-VLV-VSTK FLASH > PP-SRV-VNT-VE25 VTF > PP-SRV-CIL-060,14,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
402164,2d073a82-2546-46d8-8ab7-4a272b6a40f8-000622f4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-AIRE COMPRIMIDO,PP-SRV-CMP-CA01,PP-SRV-CMP-CA02,PP-SRV-SCD-SEAIRE1,PP-SRV-SCD-SEAIRE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-AIRE COMPRIMIDO > PP-SRV-CMP-CA01 > PP-SRV-CMP-CA02 > PP-SRV-SCD-SEAIRE1 > PP-SRV-SCD-SEAIRE2,6,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
402272,2d073a82-2546-46d8-8ab7-4a272b6a40f8-00062360,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-SRV-LGC-SERVICIOS,,PP-SRV-LGC-SERVICIOS,PP-SRV-LGC-FUEL OIL,PP-SRV-BMB-BO53,PP-SRV-BMB-BO54,PP-SRV-BMB-BOREPOS,PP-SRV-TNQ-TKFUEL,PP-SRV-BMB-BOFC,PP-SRV-BMB-BOFN,PP-SRV-BMB-BOFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-SRV-LGC-SERVICIOS > PP-SRV-LGC-FUEL OIL > PP-SRV-BMB-BO53 > PP-SRV-BMB-BO54 > PP-SRV-BMB-BOREPOS > PP-SRV-TNQ-TKFUEL > PP-SRV-BMB-BOFC > PP-SRV-BMB-BOFN > PP-SRV-BMB-BOFS,9,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
407687,05006a48-2ec1-4af5-bbec-4034ff3f5e38-00063887,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-MOLINO,PP-DSC-BMB-DBS01,PP-DSC-MLN-DM01,PP-DSC-RSC-DMA01,PP-DSC-RSC-DSF09,PP-DSC-RSC-DSFM01,PP-DSC-VLV-DVR16,PP-DSC-LGC-ASPIRADORES,PP-DSC-ASP-DAS01,PP-DSC-ASP-DAS02,PP-DSC-ASP-DAS03,PP-DSC-ASP-DAS04,PP-DSC-VNT-DVE13,PP-DSC-CCL-CDVE13,PP-DSC-VLV-DVR15,P10-DSC-ASP-ASP4,P10-DSC-ALM-AS04,P10-DSC-VNT-VE14,P10-DSC-CCL-CVE14,P10-DSC-VLV-VR14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-DSC-LGC-DESCASCARADO > PP-DSC-LGC-MOLINO > PP-DSC-BMB-DBS01 > PP-DSC-MLN-DM01 > PP-DSC-RSC-DMA01 > PP-DSC-RSC-DSF09 > PP-DSC-RSC-DSFM01 > PP-DSC-VLV-DVR16 > PP-DSC-LGC-ASPIRADORES > PP-DSC-ASP-DAS01 > PP-DSC-ASP-DAS02 > PP-DSC-ASP-DAS03 > PP-DSC-ASP-DAS04 > PP-DSC-VNT-DVE13 > PP-DSC-CCL-CDVE13 > PP-DSC-VLV-DVR15 > P10-DSC-ASP-ASP4 > P10-DSC-ALM-AS04 > P10-DSC-VNT-VE14 > P10-DSC-CCL-CVE14 > P10-DSC-VLV-VR14,22,"BTZ_Description_01=PP pero otro BTZ contiene P10 | btz_path_detectado mezcla plantas: P10, PP",Revisar clasificación BTZ plana del elemento
