element_id,unique_id,category,family,type,name,mark,comments,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,btz_path_detectado,cantidad_btz_description_con_valor
370890,c0e94eee-2efb-4074-b595-adbb9aa5b956-0005a8ca,Generic Models,Generic Models 10,Generic Models 10,Generic Models 10,,,TE-EMB-PSC-P1,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-PESCANTES,TE-EMB-PSC-P1,TE-EMB-CCM-CCMP1,TE-EMB-CHD-CENT,TE-EMB-CHD-CUCHARA,TE-EMB-CIL-CHPP1,TE-EMB-CNT-TB1,TE-EMB-PIL-PILA,TE-EMB-TTL-TUBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-PESCANTES > TE-EMB-PSC-P1 > TE-EMB-CCM-CCMP1 > TE-EMB-CHD-CENT > TE-EMB-CHD-CUCHARA > TE-EMB-CIL-CHPP1 > TE-EMB-CNT-TB1 > TE-EMB-PIL-PILA > TE-EMB-TTL-TUBO,11
372532,c0e94eee-2efb-4074-b595-adbb9aa5b956-0005af34,Generic Models,Generic Models 11,Generic Models 10,Generic Models 10,,,TE-EMB-PSC-P2,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-PESCANTES,TE-EMB-PSC-P2,TE-EMB-CCM-CCMP1INF,TE-EMB-CIL-CHPP2,TE-EMB-CNT-TB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-PESCANTES > TE-EMB-PSC-P2 > TE-EMB-CCM-CCMP1INF > TE-EMB-CIL-CHPP2 > TE-EMB-CNT-TB2,7
372571,c0e94eee-2efb-4074-b595-adbb9aa5b956-0005af5b,Generic Models,Generic Models 12,Generic Models 10,Generic Models 10,,,TE-EMB-PSC-P3,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-PESCANTES,TE-EMB-PSC-P3,TE-EMB-CCM-CCMP2,TE-EMB-CIL-CHPP3,TE-EMB-CNT-TB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-PESCANTES > TE-EMB-PSC-P3 > TE-EMB-CCM-CCMP2 > TE-EMB-CIL-CHPP3 > TE-EMB-CNT-TB3,7
373139,c0e94eee-2efb-4074-b595-adbb9aa5b956-0005b193,Generic Models,Generic Models 13,Generic Models 13,Generic Models 13,,,,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-CINTAS EMBARQUE,,TE-EMB-CCM-CCMP3,TE-EMB-CNT-CE1,TE-EMB-VLV-RNCE1,TE-EMB-CNT-CE2,TE-EMB-VLV-RNCE2,TE-EMB-CNT-CE3,TE-EMB-CNT-CE4,TE-EMB-VLV-RNCE4,TE-EMB-CNT-CE5,TE-EMB-VLV-RNCE5,TE-EMB-GLR-GCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-CINTAS EMBARQUE > TE-EMB-CCM-CCMP3 > TE-EMB-CNT-CE1 > TE-EMB-VLV-RNCE1 > TE-EMB-CNT-CE2 > TE-EMB-VLV-RNCE2 > TE-EMB-CNT-CE3 > TE-EMB-CNT-CE4 > TE-EMB-VLV-RNCE4 > TE-EMB-CNT-CE5 > TE-EMB-VLV-RNCE5 > TE-EMB-GLR-GCE,14
373369,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b279,Generic Models,puert7,puert,puert,,,,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TE6-LGC-TORRE EL6,,TE-TDM-BMB-BATM1,TE-TDM-PUL-AIRE3,TE-TDM-VNT-VFMTDM,TE-TDM-VLV-VBPB2,TE-TDM-CMP-TM,TE-TDM-LGC-SIRENAS TDM,TE-TDM-VLV-P72,TE-TE6-FLT-FMEL9,TE-TE6-RSC-RFMEL9,TE-TE6-FLT-CFINOS PREPA-OSL,TE-TE6-VLV-VRFMEL9,TE-TE6-VNT-VPFMEL9,TE-TE6-NOR-EL6,TE-TE6-VLV-VG21,TE-TE6-VLV-VG23,TE-TE6-VLV-VG25,TE-TE6-VLV-VG28,TE-TE6-NOR-EL9,TE-TE6-VLV-VG13,TE-TE6-VLV-VG15,TE-TE6-VLV-VG27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TE6-LGC-TORRE EL6 > TE-TDM-BMB-BATM1 > TE-TDM-PUL-AIRE3 > TE-TDM-VNT-VFMTDM > TE-TDM-VLV-VBPB2 > TE-TDM-CMP-TM > TE-TDM-LGC-SIRENAS TDM > TE-TDM-VLV-P72 > TE-TE6-FLT-FMEL9 > TE-TE6-RSC-RFMEL9 > TE-TE6-FLT-CFINOS PREPA-OSL > TE-TE6-VLV-VRFMEL9 > TE-TE6-VNT-VPFMEL9 > TE-TE6-NOR-EL6 > TE-TE6-VLV-VG21 > TE-TE6-VLV-VG23 > TE-TE6-VLV-VG25 > TE-TE6-VLV-VG28 > TE-TE6-NOR-EL9 > TE-TE6-VLV-VG13 > TE-TE6-VLV-VG15 > TE-TE6-VLV-VG27,24
374208,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b5c0,Generic Models,Generic Models 14,Generic Models 1,Generic Models 1,,,TE-TDM-CNT-C05,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-GALERIA C01/C05,TE-TDM-CNT-C05,TE-TDM-VLV-Q01,TE-TDM-VLV-Q02,TE-TDM-VLV-Q03,TE-TDM-VLV-Q04,TE-TDM-VLV-Q05,TE-TDM-VLV-Q06,TE-TDM-CNT-SACAMMETALES,TE-TDM-BMB-BATM2,TE-TDM-FLT-FMTDM,TE-TDM-LGC-BALANZAS EMBARQUE,TE-TDM-VLV-ABE3,TE-TDM-AIR-AIRTM0-2,TE-TDM-SRN-SIR,TE-TDM-VLV-P81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-LGC-GALERIA C01/C05 > TE-TDM-CNT-C05 > TE-TDM-VLV-Q01 > TE-TDM-VLV-Q02 > TE-TDM-VLV-Q03 > TE-TDM-VLV-Q04 > TE-TDM-VLV-Q05 > TE-TDM-VLV-Q06 > TE-TDM-CNT-SACAMMETALES > TE-TDM-BMB-BATM2 > TE-TDM-FLT-FMTDM > TE-TDM-LGC-BALANZAS EMBARQUE > TE-TDM-VLV-ABE3 > TE-TDM-AIR-AIRTM0-2 > TE-TDM-SRN-SIR > TE-TDM-VLV-P81,18
374459,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b6bb,Generic Models,puert8,puert,puert,,,TE-TDM-LGC-ELEVADORES,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-ASC-ASCENSOR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-ASC-ASCENSOR 1,3
374802,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b812,Generic Models,puert9,puert,puert,,,,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-PENDULARES TDM,,TE-TDM-BMB-BDPO,TE-TDM-BMB-BSFMTDM-2,TE-EMB-VLV-VPBE1,TE-TDM-VLV-P21,TE-TDM-CCM-CCMP2,TE-TDM-PND-PEN1,TE-TDM-PND-PEN2,TE-TDM-PND-PEN3,TE-TDM-VLV-AP,TE-TDM-VLV-P51,TE-TDM-MLC-FOSOTDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-LGC-PENDULARES TDM > TE-TDM-BMB-BDPO > TE-TDM-BMB-BSFMTDM-2 > TE-EMB-VLV-VPBE1 > TE-TDM-VLV-P21 > TE-TDM-CCM-CCMP2 > TE-TDM-PND-PEN1 > TE-TDM-PND-PEN2 > TE-TDM-PND-PEN3 > TE-TDM-VLV-AP > TE-TDM-VLV-P51 > TE-TDM-MLC-FOSOTDM,14
375014,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005b8e6,Generic Models,puert10,puert,puert,,,TE-TDM-LGC-CINTAS TRANSFERENCI,TE,TE-TDM-LGC-TORRE DE MANIPULEO,TE-TDM-LGC-CCM TDM,TE-TDM-CCM-CCMP0,TE-TDM-AIR-AIRTM0-1,TE-TDM-CMP-TM,TE-TDM-AIR-AIRTM0-2,TE-TDM-GNR-GENERADOR GEP2183,TE-TDM-CCM-CCMP2,TE-TDM-AIR-AIRTM2-1,TE-TDM-AIR-AIRTM2-2,TE-TDM-INCENDIO,TE-TDM-LGC-BANCO DE CAPACITORE,TE-TDM-LGC-SIRENAS TDM,TE-TDM-SRN-SIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-TDM-LGC-TORRE DE MANIPULEO > TE-TDM-LGC-CCM TDM > TE-TDM-CCM-CCMP0 > TE-TDM-AIR-AIRTM0-1 > TE-TDM-CMP-TM > TE-TDM-AIR-AIRTM0-2 > TE-TDM-GNR-GENERADOR GEP2183 > TE-TDM-CCM-CCMP2 > TE-TDM-AIR-AIRTM2-1 > TE-TDM-AIR-AIRTM2-2 > TE-TDM-INCENDIO > TE-TDM-LGC-BANCO DE CAPACITORE > TE-TDM-LGC-SIRENAS TDM > TE-TDM-SRN-SIR,15
376778,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005bfca,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,dividir e ¿n 8 sectores,TE-SCD-LGC-REDLER SECADORA,TE,TE-SCD-LGC-SECTOR SECADORA,TE-SEC-NOR-EL7,TE-SEC-VLV-V3,TE-SEC-VLV-V4,TE-SEC-NOR-EL8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-SCD-LGC-SECTOR SECADORA > TE-SEC-NOR-EL7 > TE-SEC-VLV-V3 > TE-SEC-VLV-V4 > TE-SEC-NOR-EL8,6
