fecha,project_xml,planta,element_id,unique_id,nodo_project_seleccionado,codigo_no_escrito,motivo
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4S-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4S-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4S-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIRSVA,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIRSVB,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIRSVC,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIRSVD,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIRSVE,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIRSVF,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-ASSKW1,supera_80_btz_description
