fecha,project_xml,planta,element_id,unique_id,parametro,codigo_anterior,codigo_nuevo,estado,mensaje
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411286,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-00064696,BTZ_Description_02,TE-TDM-LGC-TORRE,TE-TDM-LGC-TORRE DE MANIPULEO,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411286,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-00064696,BTZ_Description_03,TE-TDM-TBL-TABLERO,TE-TDM-TBL-TABLERO EMBARQUE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411286,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-00064696,BTZ_Description_05,TE-TDM-CMP-AC,TE-TDM-CMP-AC TAB-5-1,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411390,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-000646fe,BTZ_Description_02,TE-ACT-LGC-SECTOR,TE-ACT-LGC-SECTOR ACEITE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411556,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-000647a4,BTZ_Description_02,TE-ACT-LGC-SECTOR,TE-ACT-LGC-SECTOR ACEITE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411757,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006486d,BTZ_Description_02,TE-ACT-LGC-SECTOR,TE-ACT-LGC-SECTOR ACEITE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411757,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006486d,BTZ_Description_03,TE-MSB-LGC-SECTOR,TE-MSB-LGC-SECTOR SAN BENITO,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411757,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006486d,BTZ_Description_04,TE-MSB-CÑR-CAÑERIA,TE-MSB-CÑR-CAÑERIA ACT/BIO,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,411822,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-000648ae,BTZ_Description_05,TE-EMB-LGC-CCM,TE-EMB-LGC-CCM EMBARQUE,corregido,Completado desde etiqueta Project XML
2026-06-02 10:38:15,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\TE.xml,TE,412029,ecbf5d78-89f8-4fa8-a0ff-f31edc5dc2e0-0006497d,BTZ_Description_02,TE-ACT-LGC-SECTOR,TE-ACT-LGC-SECTOR ACEITE,corregido,Completado desde etiqueta Project XML
