element_id_contenedor,unique_id_contenedor,btz_path_contenedor,codigo_project,descripcion_project,slots_libres,cantidad_hijos_asignados,motivo_omision
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE48,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE48,AEROTERMO DE VENTILADOR VE48,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE49,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE49,AEROTERMO DE VENTILADOR VE49,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE50,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE50,AEROTERMO DE VENTILADOR VE50,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE51,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE51,AEROTERMO DE VENTILADOR VE51,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE52,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE52,AEROTERMO DE VENTILADOR VE52,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE53,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE53,AEROTERMO DE VENTILADOR VE53,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE54,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE54,AEROTERMO DE VENTILADOR VE54,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE55,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE55,AEROTERMO DE VENTILADOR VE55,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE56,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE56,AEROTERMO DE VENTILADOR VE56,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE57,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE57,AEROTERMO DE VENTILADOR VE57,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE58,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE58,AEROTERMO DE VENTILADOR VE58,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE59,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE59,AEROTERMO DE VENTILADOR VE59,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE60,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE60,AEROTERMO DE VENTILADOR VE60,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE61,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE61,AEROTERMO DE VENTILADOR VE61,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE62,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE62,AEROTERMO DE VENTILADOR VE62,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE63,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE63,AEROTERMO DE VENTILADOR VE63,27,78,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-VNT-VRA02,VENTIALDOR RECIRCULACION ACEITE EXPANDER E02,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-EXP-E03,EXPANDER E03,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-ALM-AE03,ALIM. EXPANDER E03,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLI03,BOMBA ACEITE LUBR. RODAM.,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-BMB-EBLE03,BOMBA ACEITE REFRIGERACION REDUCTOR E03,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-VNT-VRA03,VENTIALDOR RECIRCULACION ACEITE EXPANDER E03,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-EXP-E04,EXPANDER E04,27,49,asociado_por_csv_externo_supera_slots_btz
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10-PRP-ALM-AE04,ALIM. EXPANDER E04,27,49,asociado_por_csv_externo_supera_slots_btz
