element_id,unique_id,btz_path_contenedor,codigo_project,estado_correccion,btz_description_slot_usado,mensaje
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA17,ya_existia,BTZ_Description_17,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q18,ya_existia,BTZ_Description_18,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA18,ya_existia,BTZ_Description_19,El código ya estaba escrito en el elemento
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-RDL-R33,ya_existia,BTZ_Description_04,El código ya estaba escrito en el elemento
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-RDL-R34,ya_existia,BTZ_Description_05,El código ya estaba escrito en el elemento
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-RDL-R35,ya_existia,BTZ_Description_06,El código ya estaba escrito en el elemento
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-RDL-R36,ya_existia,BTZ_Description_07,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-RSC-SF07,ya_existia,BTZ_Description_04,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-RSC-SF06,ya_existia,BTZ_Description_05,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-RSC-SF23,ya_existia,BTZ_Description_06,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-RSC-SF21,ya_existia,BTZ_Description_07,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-RSC-SF22,ya_existia,BTZ_Description_08,El código ya estaba escrito en el elemento
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10-DSC-RSC-SF24,ya_existia,BTZ_Description_09,El código ya estaba escrito en el elemento
