element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESTILACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,14
282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESGOMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,28
332643,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-00051363,Generic Models,Silos 6,Silos 2,Silos 2,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-TRATAMIENTO AGUA,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TRATAMIENTO AGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
355813,746ca086-f561-435a-ba68-1305e58fcca1-00056de5,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
356583,746ca086-f561-435a-ba68-1305e58fcca1-000570e7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
356627,746ca086-f561-435a-ba68-1305e58fcca1-00057113,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
356674,746ca086-f561-435a-ba68-1305e58fcca1-00057142,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
356719,746ca086-f561-435a-ba68-1305e58fcca1-0005716f,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
356816,746ca086-f561-435a-ba68-1305e58fcca1-000571d0,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
356868,746ca086-f561-435a-ba68-1305e58fcca1-00057204,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
357186,746ca086-f561-435a-ba68-1305e58fcca1-00057342,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
357224,746ca086-f561-435a-ba68-1305e58fcca1-00057368,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
357316,746ca086-f561-435a-ba68-1305e58fcca1-000573c4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
357351,746ca086-f561-435a-ba68-1305e58fcca1-000573e7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
357377,746ca086-f561-435a-ba68-1305e58fcca1-00057401,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
358462,1dd21141-8de6-4d43-b824-f67da67065de-0005783e,Generic Models,Biodiesel3,Biodiesel,Biodiesel,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-SRT-SR01,P10,P10-HRN-LGC-HARINA,P10-HRN-LGC-SEC. ROTATIVOS,P10-HRN-SRT-SR01,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,2
358495,1dd21141-8de6-4d43-b824-f67da67065de-0005785f,Generic Models,Biodiesel4,Biodiesel,Biodiesel,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-SRT-SR02,P10,P10-HRN-LGC-HARINA,P10-HRN-LGC-SEC. ROTATIVOS,P10-HRN-SRT-SR02,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,1
361292,79a4e34a-87ef-4472-9c35-b34f669597e2-0005834c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SCT-SECTOR OBRADORES,P10,P10-SRV-LGC-SERVICIOS,P10-SCT-SECTOR OBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
365213,5058d264-a8f9-4ba1-9628-877e44bc2201-0005929d,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-OSMOSIS,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-OSMOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,14
365458,af4a1dfd-5c7d-4cb9-a1b8-2df1a4ebcc4e-00059392,Generic Models,Silos 7,Silos 2,Silos 2,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-FUEL OIL,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-FUEL OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10,P10-HRN-LGC-HARINA,P10-HRN-ENF-EG01,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,78
369188,460ebebf-e4ee-449a-900c-ab33de4c697f-0005a224,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-BEAN HEATER,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-BEAN HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
373540,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b324,Generic Models,Silodiario harina,Silodiario harina,Silodiario harina,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-SILOS > P10-PRL-SLO-SLO1 DIARIO,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-SILOS,P10-PRL-SLO-SLO1 DIARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,0
373591,1dd9711a-59af-4c3f-8b41-17903a787e86-0005b357,Generic Models,Silodiario harina1,Silodiario harina,Silodiario harina,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-SILOS > P10-PRL-SLO-SLO2 DIARIO,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-SILOS,P10-PRL-SLO-SLO2 DIARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,0
376995,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005c0a3,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-REDLER,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
377104,8accc226-fd17-4cff-b8d4-a22c3cd8ef0a-0005c110,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-REDLER,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
377635,c5ee6896-39ff-4562-be63-4682b50c65ca-0005c323,Generic Models,puert11,puert,puert,P10 > P10-HRN-LGC-HARINA > P10-HRN-FLT-FMHRN,P10,P10-HRN-LGC-HARINA,P10-HRN-FLT-FMHRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
377655,c5ee6896-39ff-4562-be63-4682b50c65ca-0005c337,Generic Models,puert12,puert,puert,TE > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-ACS-TPRL,TE,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-ACS-TPRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
377972,c5ee6896-39ff-4562-be63-4682b50c65ca-0005c474,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-GRL-LGC-EQUIPOS SEGURIDAD,P10,P10-GRL-LGC-EQUIPOS SEGURIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,0
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-ZARANDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,12
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,16
378308,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c5c4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-CONJUNTO CCD 1RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
378434,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c642,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-CONJUNTO CCC 2DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
378523,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c69b,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-GRL-LGC-CCM,P10,P10-GRL-LGC-CCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,8
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,11
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,4
380547,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005ce83,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-TAMIZADORES,P10,P10-HRN-LGC-HARINA,P10-HRN-LGC-TAMIZADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,15
380565,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005ce95,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-FLT-FMHRN,P10,P10-HRN-LGC-HARINA,P10-HRN-FLT-FMHRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
380586,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005ceaa,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-NORIAS,P10,P10-HRN-LGC-HARINA,P10-HRN-LGC-NORIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,4
380971,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005d02b,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-TRAT QUIM CALD,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TRAT QUIM CALD,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
381172,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005d0f4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-GRL-LGC-EQUIPOS IZAJE,P10,P10-GRL-LGC-EQUIPOS IZAJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,0
384012,e0118a5a-e983-4b93-852f-e273cc5f6243-0005dc0c,Generic Models,Biodiesel10,Biodiesel,Biodiesel,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-SILOS > P10-PRL-SLO-SRECUP,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-SILOS,P10-PRL-SLO-SRECUP,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,1
384750,3ade3506-4f84-4896-9589-30d81e40c276-0005deee,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-TRATAMIENTO AGUA,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TRATAMIENTO AGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
385248,3ade3506-4f84-4896-9589-30d81e40c276-0005e0e0,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-MERMA,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-MERMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,9
385396,3ade3506-4f84-4896-9589-30d81e40c276-0005e174,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-MULTIASPIRADORES,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-MULTIASPIRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,19
385416,3ade3506-4f84-4896-9589-30d81e40c276-0005e188,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-REDLER,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
385436,3ade3506-4f84-4896-9589-30d81e40c276-0005e19c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-REDLER,P10,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-REDLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
385885,905be7f4-0c46-42ea-a443-0fdea469e6f3-0005e35d,Generic Models,Generic Models 15,Generic Models 2,Generic Models 2,P10 > P10-HRN-LGC-HARINA > P10-HRN-CNT-C04,P10,P10-HRN-LGC-HARINA,P10-HRN-CNT-C04,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,2
