element_id	group_key	slots	max_confidence
503110	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503116	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503118	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503124	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503126	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503132	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503134	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503140	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503142	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503148	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503150	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503156	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503158	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503164	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503166	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503172	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503174	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503180	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503182	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503188	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503190	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503196	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503198	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503204	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503206	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503212	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503214	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503220	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503222	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503228	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503230	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503236	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503238	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503244	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503246	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503252	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503254	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503260	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503262	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503268	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503270	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503276	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
503278	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495702	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495704	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495710	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495712	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495718	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495720	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495726	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495728	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495734	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495736	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495742	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495744	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495750	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495752	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495758	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495760	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495766	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495768	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495774	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495776	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495782	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495784	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495790	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495792	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495798	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495800	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495806	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495808	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495814	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495816	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495822	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495824	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495830	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
