element_id,unique_id,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,estado_match,estado_confirmacion,observacion,limpiar_valores
156228,379981ba-ab79-4577-9004-ad3cc41f4fee-00026244,PR-ACT-TNQ-AC12,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC12,PR-ACT-AGT-TK12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK12 escrito en btz_description_05,NO
368306,c1b86e07-db16-4679-93c3-323d244a69e5-00059eb2,PR-ACT-TNQ-AC13,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC13,PR-ACT-AGT-TK13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK13 escrito en btz_description_05,NO
369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR-ADM-UPS-UPS2,PR,PR-ADM-LGC-AMINISTRACION,PR-ADM-LGC-GENERAL,PR-ADM-UPS-UPS2,PR-ADM-AIR-ANOR,PR-ADM-AIR-ASUR,PR-ADM-BMB-EXPGO,PR-ADM-BMB-GOIL,PR-ADM-GNR-GEC01,PR-ADM-GNR-JDC60,PR-ADM-TKGO-MNG,PR-ADM-TNQ-GOIL,PR-ADM-VHC-TYTAT,PR-ADM-VHC-TYTDC,PR-ADM-VHC-TYTSW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ADM-AIR-ANOR escrito en btz_description_05 | hijo Project PR-ADM-AIR-ASUR escrito en btz_description_06 | hijo Project PR-ADM-BMB-EXPGO escrito en btz_description_07 | hijo Project PR-ADM-BMB-GOIL escrito en btz_description_08 | hijo Project PR-ADM-GNR-GEC01 escrito en btz_description_09 | hijo Project PR-ADM-GNR-JDC60 escrito en btz_description_10 | hijo Project PR-ADM-TKGO-MNG escrito en btz_description_11 | hijo Project PR-ADM-TNQ-GOIL escrito en btz_description_12 | hijo Project PR-ADM-VHC-TYTAT escrito en btz_description_13 | hijo Project PR-ADM-VHC-TYTDC escrito en btz_description_14 | hijo Project PR-ADM-VHC-TYTSW4 escrito en btz_description_15,NO
368900,c1b86e07-db16-4679-93c3-323d244a69e5-0005a104,PR-AGR-SLO-14V,PR,PR-AGR-LGC-REPROCESO,PR-AGR-LGC-SILOS,PR-AGR-SLO-14V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit,NO
369026,c1b86e07-db16-4679-93c3-323d244a69e5-0005a182,PR-AGR-SLO-15V,PR,PR-AGR-LGC-REPROCESO,PR-AGR-LGC-SILOS,PR-AGR-SLO-15V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit,NO
166317,e42370da-1003-4b82-9a27-4cb40db2c9bb-000289ad,PR-ALM-ATL-TYT6,PR,PR-ALM-LGC-ALMACEN RICARDONE,PR-ALM-LGC-GENERAL,PR-ALM-ATL-TYT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit,NO
386386,95c1af94-5959-437c-80b8-8758c03bcc38-0005e552,PR-EFL-REJ-FPZB,PR,PR-EFL-LGC-EFLUENTES,PR-EFL-LGC-POZO DE BOMBEO EFLUENTES,PR-EFL-REJ-FPZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit,NO
383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR-ENR1-LGC-ENERGIA,PR,PR-ENR1-LGC-ENERGIA 1,PR-ENR1-LGC-GENERAL,PR-ENR1-APM-APMST,PR-ENR1-EQP-ACTB,PR-ENR1-PGR-PGST,PR-ENR1-TRB-SMN,PR-ENR1-VLV-SECTS,PR-ENR1-DPS-ACT,PR-ENR1-ENF-ACT1,PR-ENR1-ENF-ACT2,PR-ENR1-ENF-GNT,PR-ENR1-EXI-GEN,PR-ENR1-EXI-PGEN,PR-ENR1-EXT-VHS,PR-ENR1-FLT-ACT,PR-ENR1-RDC-TUR,PR-ENR1-VLV-12/7,PR-ENR1-VLV-33/12,PR-ENR1-VLV-33/7,PR-ENR1-VLV-BCPTS,PR-ENR1-VLV-BETS,PR-ENR1-VLV-BPFTS,PR-ENR1-VLV-SCPTS,PR-ENR1-VLV-SEXTS,PR-ENR1-VLV-VRV7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ENR1-APM-APMST escrito en btz_description_04 | hijo Project PR-ENR1-EQP-ACTB escrito en btz_description_05 | hijo Project PR-ENR1-PGR-PGST escrito en btz_description_06 | hijo Project PR-ENR1-TRB-SMN escrito en btz_description_07 | hijo Project PR-ENR1-VLV-SECTS escrito en btz_description_08 | hijo Project PR-ENR1-DPS-ACT escrito en btz_description_09 | hijo Project PR-ENR1-ENF-ACT1 escrito en btz_description_10 | hijo Project PR-ENR1-ENF-ACT2 escrito en btz_description_11 | hijo Project PR-ENR1-ENF-GNT escrito en btz_description_12 | hijo Project PR-ENR1-EXI-GEN escrito en btz_description_13 | hijo Project PR-ENR1-EXI-PGEN escrito en btz_description_14 | hijo Project PR-ENR1-EXT-VHS escrito en btz_description_15 | hijo Project PR-ENR1-FLT-ACT escrito en btz_description_16 | hijo Project PR-ENR1-RDC-TUR escrito en btz_description_17 | hijo Project PR-ENR1-VLV-12/7 escrito en btz_description_18 | hijo Project PR-ENR1-VLV-33/12 escrito en btz_description_19 | hijo Project PR-ENR1-VLV-33/7 escrito en btz_description_20 | hijo Project PR-ENR1-VLV-BCPTS escrito en btz_description_21 | hijo Project PR-ENR1-VLV-BETS escrito en btz_description_22 | hijo Project PR-ENR1-VLV-BPFTS escrito en btz_description_23 | hijo Project PR-ENR1-VLV-SCPTS escrito en btz_description_24 | hijo Project PR-ENR1-VLV-SEXTS escrito en btz_description_25 | hijo Project PR-ENR1-VLV-VRV7 escrito en btz_description_26,NO
394401,a76015c2-c6f4-4057-9a15-5a3acb8b5871-000604a1,PR-ENR2-LGC-ENERGIA,PR,PR-ENR2-LGC-ENERGIA 2,PR-ENR2-LGC-GENERAL,PR-ENR2-CEL-MT6/6,PR-ENR2-SBE-13,PR-ENR2-TRB-FTS,PR-ENR2-ENF-AIR,PR-ENR2-ENF-APL,PR-ENR2-EXI-GEN,PR-ENR2-EYC-VAC,PR-ENR2-FLT-ACT,PR-ENR2-VLV-SE21TFT,PR-ENR2-VLV-SE3.5TFT,PR-ENR2-VLV-VBE3,PR-ENR2-VLV-VBPFTFT,PR-ENR2-VLV-VBSGTFT,PR-ENR2-TRR-ENF3,PR-ENR2-TRR-ENF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ENR2-CEL-MT6/6 escrito en btz_description_04 | hijo Project PR-ENR2-SBE-13 escrito en btz_description_05 | hijo Project PR-ENR2-TRB-FTS escrito en btz_description_06 | hijo Project PR-ENR2-ENF-AIR escrito en btz_description_07 | hijo Project PR-ENR2-ENF-APL escrito en btz_description_08 | hijo Project PR-ENR2-EXI-GEN escrito en btz_description_09 | hijo Project PR-ENR2-EYC-VAC escrito en btz_description_10 | hijo Project PR-ENR2-FLT-ACT escrito en btz_description_11 | hijo Project PR-ENR2-VLV-SE21TFT escrito en btz_description_12 | hijo Project PR-ENR2-VLV-SE3.5TFT escrito en btz_description_13 | hijo Project PR-ENR2-VLV-VBE3 escrito en btz_description_14 | hijo Project PR-ENR2-VLV-VBPFTFT escrito en btz_description_15 | hijo Project PR-ENR2-VLV-VBSGTFT escrito en btz_description_16 | hijo Project PR-ENR2-TRR-ENF3 escrito en btz_description_17 | hijo Project PR-ENR2-TRR-ENF4 escrito en btz_description_18,NO
262509,6537a3cc-b31c-4ab7-8606-8f606b5b0101-0004016d,PR-EXP-CBN-CBNPI,PR,PR-EXP-LGC-EXPEDICION,PR-EXP-LGC-PREINGRESO,PR-EXP-CBN-CBNPI,PR-EXP-CMR-CMRPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-EXP-CMR-CMRPI escrito en btz_description_05,NO
