"nivel_btz","valor_btz","nombre_vista","nombre_filtro","archivo_png","estado","mensaje"
"02","EXTRACCION","EXP_BTZ02_SAN_LORENZO_P10_P10_EXT_LGC_EXTRACCION","FILTRO_BTZ02_SAN_LORENZO_P10_P10_EXT_LGC_EXTRACCION","BTZ02_SAN_LORENZO_P10_P10_EXT_LGC_EXTRACCION.png","ok",""
"02","SERVICIOS","EXP_BTZ02_SAN_LORENZO_PP_PP_SRV_LGC_SERVICIOS","FILTRO_BTZ02_SAN_LORENZO_PP_PP_SRV_LGC_SERVICIOS","BTZ02_SAN_LORENZO_PP_PP_SRV_LGC_SERVICIOS.png","ok",""
"02","PREPARACION","EXP_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_PREPARACION","FILTRO_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_PREPARACION","BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_PREPARACION.png","ok",""
"02","HARINA","EXP_BTZ02_SAN_LORENZO_PP_PP_HRN_LGC_HARINA","FILTRO_BTZ02_SAN_LORENZO_PP_PP_HRN_LGC_HARINA","BTZ02_SAN_LORENZO_PP_PP_HRN_LGC_HARINA.png","ok",""
"02","PELLETERA","EXP_BTZ02_SAN_LORENZO_PP_PP_PLL_LGC_PELLETERA","FILTRO_BTZ02_SAN_LORENZO_PP_PP_PLL_LGC_PELLETERA","BTZ02_SAN_LORENZO_PP_PP_PLL_LGC_PELLETERA.png","ok",""
"02","SECADORA","EXP_BTZ02_SAN_LORENZO_TE_TE_SEC_SECSEKW_SECADORA","FILTRO_BTZ02_SAN_LORENZO_TE_TE_SEC_SECSEKW_SECADORA","BTZ02_SAN_LORENZO_TE_TE_SEC_SECSEKW_SECADORA.png","ok",""
"02","SR01","EXP_BTZ02_SAN_LORENZO_PP_PP_HRN_SRT_SR01","FILTRO_BTZ02_SAN_LORENZO_PP_PP_HRN_SRT_SR01","BTZ02_SAN_LORENZO_PP_PP_HRN_SRT_SR01.png","ok",""
"02","EXPANDIDO","EXP_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_EXPANDIDO","FILTRO_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_EXPANDIDO","BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_EXPANDIDO.png","ok",""
"02","LAMINADORES","EXP_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_LAMINADORES","FILTRO_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_LAMINADORES","BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_LAMINADORES.png","ok",""
"02","QUEBRADORES","EXP_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_QUEBRADORES","FILTRO_BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_QUEBRADORES","BTZ02_SAN_LORENZO_PP_PP_PRP_LGC_QUEBRADORES.png","ok",""
"02","OBRADORES","EXP_BTZ02_SAN_LORENZO_P10_P10_SCT_SECTOR_OBRADORES","FILTRO_BTZ02_SAN_LORENZO_P10_P10_SCT_SECTOR_OBRADORES","BTZ02_SAN_LORENZO_P10_P10_SCT_SECTOR_OBRADORES.png","ok",""
"02","OSL","EXP_BTZ02_SAN_LORENZO_TE_TE_ACT_SLA_SALA_BMB_OSL","FILTRO_BTZ02_SAN_LORENZO_TE_TE_ACT_SLA_SALA_BMB_OSL","BTZ02_SAN_LORENZO_TE_TE_ACT_SLA_SALA_BMB_OSL.png","ok",""
"03","1","EXP_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_1","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_1","BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_1.png","ok",""
"03","2","EXP_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_2","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_2","BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_2.png","ok",""
"03","PORTERIA","EXP_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_PORTERIA","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_PORTERIA","BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_PORTERIA.png","ok",""
"03","OFICINAS","EXP_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_OFICINAS","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_OFICINAS","BTZ03_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS_TE_ADM_EDF_OFICINAS.png","ok",""
"03","PV5","EXP_BTZ03_SAN_LORENZO_TE_TE_DDC_LGC_DESCARGA_CAMIONES_TE_DDC_PTV_PV5","FILTRO_BTZ03_SAN_LORENZO_TE_TE_DDC_LGC_DESCARGA_CAMIONES_TE_DDC_PTV_PV5","BTZ03_SAN_LORENZO_TE_TE_DDC_LGC_DESCARGA_CAMIONES_TE_DDC_PTV_PV5.png","ok",""
"03","400","EXP_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_400","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_400","BTZ03_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE_TE_ACT_LGC_TANQUES_400.png","ok",""
"03","3","EXP_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_3","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_3","BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS_TE_ALM_CLD_CELDA_3.png","ok",""
"03","SILOS","EXP_BTZ03_SAN_LORENZO_PP_PP_PRL_LGC_PRELIMPIEZA_PP_PRL_LGC_SILOS","FILTRO_BTZ03_SAN_LORENZO_PP_PP_PRL_LGC_PRELIMPIEZA_PP_PRL_LGC_SILOS","BTZ03_SAN_LORENZO_PP_PP_PRL_LGC_PRELIMPIEZA_PP_PRL_LGC_SILOS.png","ok",""
"03","6","EXP_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS_TE_ALM_SLO_SILO_6","FILTRO_BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS_TE_ALM_SLO_SILO_6","BTZ03_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS_TE_ALM_SLO_SILO_6.png","ok",""
