element_id,unique_id,estado_aplicacion,mensaje,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80
174203,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a87b,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK1,TE-ACT-PLM-AIRE1,TE-FUEL-CRG-CARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197248,25d0f85d-57da-4cae-8ca2-9b682363407e-00030280,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,,,TE-GLC-BMB-BO300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239910,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a926,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR7,TE-GLC-BMB-BO304,TE-GLC-LGC-TANQUES,TE-ACT-VLV-TFPD6-13785,TE-ACT-VLV-TFPD4-17102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287117,121e7c49-6f80-4698-91bd-c7c5a38e25dd-0004618d,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR9,TE-GLC-BMB-BO305,TE-GLC-CLT-CALDERIN,TE-ACT-VLV-TFPD4-17099,TE-ACT-VLV-TFPD6-14116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308642,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004b5a2,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR8,TE-GLC-TNQ-TK,TE-ACT-VLV-TFPD4-17103,TE-ACT-VLV-TFPD6-14117,TE-RFN-LCT-LECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308734,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004b5fe,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR10,TE-ACT-VLV-TFPD6-13781,TE-ACT-VLV-TFPD4-17100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350956,166708fd-8f1f-4231-bc3b-68b8d7570667-00055aec,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-BOMBAS DE ACEITE,TE-ACT-SLA-SALA BMB ACEITE,TE-ACT-LGC-BOMBAS,TE-LCT-BMB-BO105,TE-ACT-SLA-SALA,TE-ACT-BMB-BO109,TE-ACT-BMB-BO512,TE-ACT-BMB-BO201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351012,166708fd-8f1f-4231-bc3b-68b8d7570667-00055b24,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-BOMBAS DE ACEITE,,TE-LCT-BMB-BO101,TE-LCT-BMB-BO107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357674,1dd21141-8de6-4d43-b824-f67da67065de-0005752a,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-BOMBAS DE ACEITE,TE-ACT-SLA-SALA BMB OSL,TE-LCT-BMB-BO102,TE-LCT-BMB-BO113,TE-ACT-BMB-BO108,TE-ACT-BMB-BO511,TE-ACT-BMB-BO200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361205,79a4e34a-87ef-4472-9c35-b34f669597e2-000582f5,aplicado,OK,,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-BOMBAS DE ACEITE,TE-ACT-LGC-BOMBAS LECITINA,TE-LCT-BMB-BO103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
