codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
TE-FUEL-BMB-BO412,BOMBA BO412 FUEL A CISTERNA PTA 6000 (SALA DE BOMBAS RENOVA FRENTE A TKS 400) | Grupo: TE-BOMBA BO412,361370,79a4e34a-87ef-4472-9c35-b34f669597e2-0005839a,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-BOMBAS DE ACEITE > TE-BIO-SLA-SALA BMB TK400,contenedor_por_ancestro_forzado,TE-BIO-SLA-SALA,confirmado_force_ancestor_container,SI,btz_description_07,escrito_slot_05_80
TE-FUEL-BMB-BO413,BOMBA BO413 FUEL A CISTERNA PTA 6000  (SALA DE BOMBAS RENOVA FRENTE A TKS 400) | Grupo: TE-BOMBA BO413,361370,79a4e34a-87ef-4472-9c35-b34f669597e2-0005839a,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-BOMBAS DE ACEITE > TE-BIO-SLA-SALA BMB TK400,contenedor_por_ancestro_forzado,TE-BIO-SLA-SALA,confirmado_force_ancestor_container,SI,btz_description_08,escrito_slot_05_80
TE-ACT-VLV-TFPD6-12870,VALVULA PRESION/VACÍO PEFOW TD6 Nº DE SERIE 12870 (TK400) | Grupo: TE-VALVULA PEFOW TD6 PULG,318365,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004db9d,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK400,contenedor_por_ancestro_project,TE-BIO-TNQ-TK400,asociado_a_contenedor,SI,btz_description_05,escrito_slot_05_80
TE-ACT-VLV-TFPD6-11147,VALVULA PRESION/VACÍO PEFOW TD6 Nº DE SERIE 11147 (TK401) | Grupo: TE-VALVULA PEFOW TD6 PULG,318340,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004db84,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK401,contenedor_por_ancestro_project,TE-BIO-TNQ-TK401,asociado_a_contenedor,SI,btz_description_05,escrito_slot_05_80
TE-ACT-VLV-TFPD6-11201,VALVULA PRESION/VACÍO PEFOW TD6 Nº DE SERIE 11201 (TK401) | Grupo: TE-VALVULA PEFOW TD6 PULG,318340,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004db84,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK401,contenedor_por_ancestro_project,TE-BIO-TNQ-TK401,asociado_a_contenedor,SI,btz_description_06,escrito_slot_05_80
TE-ACT-VLV-TFPD6-11148,VALVULA PRESION/VACÍO PEFOW TD6 Nº DE SERIE 11148 (TK402) | Grupo: TE-VALVULA PEFOW TD6 PULG,171843,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029f43,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_project,TE-BIO-TNQ-TK402,asociado_a_contenedor,SI,btz_description_07,escrito_slot_05_80
TE-ACT-VLV-TFPD6-11202,VALVULA PRESION/VACÍO PEFOW TD6 Nº DE SERIE 11202 (TK402) | Grupo: TE-VALVULA PEFOW TD6 PULG,171843,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029f43,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_project,TE-BIO-TNQ-TK402,asociado_a_contenedor,SI,btz_description_08,escrito_slot_05_80
TE-FUEL-CRG-CARG,CARGADERO DE CAMIONES FUEL OIL (FRENTE A BICICLETERO) | Grupo: TE-CRG CARG TK400,174203,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a87b,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-TANQUES,confirmado_force_ancestor_container,SI,btz_description_06,escrito_slot_05_80
TE-BIO-BMB-BO411,BOMBA BO411 DESCARGA BIO (CARGADERO DE FUEL OIL FRENTE A BICICLETERO) | Grupo: TE-BOMBA BO411,361370,79a4e34a-87ef-4472-9c35-b34f669597e2-0005839a,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-BOMBAS DE ACEITE > TE-BIO-SLA-SALA BMB TK400,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_09,escrito_slot_05_80
TE-FUEL-BMB-BO410,BOMBA BO410 DESCARGA FUEL OIL (CARGADERO DE FUEL OIL FRENTE A BICICLETERO) | Grupo: TE-BOMBA BO410,174229,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a895,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-TANQUES,confirmado_force_ancestor_container,SI,btz_description_06,escrito_slot_05_80
